Provinsi,Tahun,Jalur,Tahap,Sekolah,Jurusan,Indikator,Nilai Akhir
Lampung,2018,Reguler,-,SMAN 01 Bandar Lampung,IPA,Terendah,642.0
Lampung,2018,Reguler,-,SMAN 01 Bandar Lampung,IPA,Tertinggi,744.0
Lampung,2018,Reguler,-,SMAN 01 Bandar Lampung,IPA,Rata - Rata,673.91
Lampung,2018,Reguler,-,SMAN 01 Bandar Lampung,IPS,Terendah,619.5
Lampung,2018,Reguler,-,SMAN 01 Bandar Lampung,IPS,Tertinggi,721.0
Lampung,2018,Reguler,-,SMAN 01 Bandar Lampung,IPS,Rata - Rata,656.17
Lampung,2018,Reguler,-,SMAN 02 Bandar Lampung,IPA,Terendah,650.0
Lampung,2018,Reguler,-,SMAN 02 Bandar Lampung,IPA,Tertinggi,773.0
Lampung,2018,Reguler,-,SMAN 02 Bandar Lampung,IPA,Rata - Rata,698.53
Lampung,2018,Reguler,-,SMAN 02 Bandar Lampung,IPS,Terendah,603.5
Lampung,2018,Reguler,-,SMAN 02 Bandar Lampung,IPS,Tertinggi,739.0
Lampung,2018,Reguler,-,SMAN 02 Bandar Lampung,IPS,Rata - Rata,645.28
Lampung,2018,Reguler,-,SMAN 03 Bandar Lampung,IPA,Terendah,603.5
Lampung,2018,Reguler,-,SMAN 03 Bandar Lampung,IPA,Tertinggi,739.5
Lampung,2018,Reguler,-,SMAN 03 Bandar Lampung,IPA,Rata - Rata,643.13
Lampung,2018,Reguler,-,SMAN 03 Bandar Lampung,IPS,Terendah,590.0
Lampung,2018,Reguler,-,SMAN 03 Bandar Lampung,IPS,Tertinggi,676.5
Lampung,2018,Reguler,-,SMAN 03 Bandar Lampung,IPS,Rata - Rata,623.87
Lampung,2018,Reguler,-,SMAN 04 Bandar Lampung,IPA,Terendah,547.5
Lampung,2018,Reguler,-,SMAN 04 Bandar Lampung,IPA,Tertinggi,700.5
Lampung,2018,Reguler,-,SMAN 04 Bandar Lampung,IPA,Rata - Rata,604.55
Lampung,2018,Reguler,-,SMAN 04 Bandar Lampung,IPS,Terendah,548.0
Lampung,2018,Reguler,-,SMAN 04 Bandar Lampung,IPS,Tertinggi,684.0
Lampung,2018,Reguler,-,SMAN 04 Bandar Lampung,IPS,Rata - Rata,580.64
Lampung,2018,Reguler,-,SMAN 05 Bandar Lampung,IPA,Terendah,663.0
Lampung,2018,Reguler,-,SMAN 05 Bandar Lampung,IPA,Tertinggi,752.5
Lampung,2018,Reguler,-,SMAN 05 Bandar Lampung,IPA,Rata - Rata,691.35
Lampung,2018,Reguler,-,SMAN 05 Bandar Lampung,IPS,Terendah,618.5
Lampung,2018,Reguler,-,SMAN 05 Bandar Lampung,IPS,Tertinggi,707.0
Lampung,2018,Reguler,-,SMAN 05 Bandar Lampung,IPS,Rata - Rata,644.08
Lampung,2018,Reguler,-,SMAN 06 Bandar Lampung,IPA,Terendah,393.0
Lampung,2018,Reguler,-,SMAN 06 Bandar Lampung,IPA,Tertinggi,650.0
Lampung,2018,Reguler,-,SMAN 06 Bandar Lampung,IPA,Rata - Rata,511.42
Lampung,2018,Reguler,-,SMAN 06 Bandar Lampung,IPS,Terendah,473.0
Lampung,2018,Reguler,-,SMAN 06 Bandar Lampung,IPS,Tertinggi,624.5
Lampung,2018,Reguler,-,SMAN 06 Bandar Lampung,IPS,Rata - Rata,533.23
Lampung,2018,Reguler,-,SMAN 07 Bandar Lampung,IPA,Terendah,620.5
Lampung,2018,Reguler,-,SMAN 07 Bandar Lampung,IPA,Tertinggi,766.5
Lampung,2018,Reguler,-,SMAN 07 Bandar Lampung,IPA,Rata - Rata,659.07
Lampung,2018,Reguler,-,SMAN 07 Bandar Lampung,IPS,Terendah,565.5
Lampung,2018,Reguler,-,SMAN 07 Bandar Lampung,IPS,Tertinggi,711.5
Lampung,2018,Reguler,-,SMAN 07 Bandar Lampung,IPS,Rata - Rata,606.5
Lampung,2018,Reguler,-,SMAN 08 Bandar Lampung,IPA,Terendah,559.5
Lampung,2018,Reguler,-,SMAN 08 Bandar Lampung,IPA,Tertinggi,717.0
Lampung,2018,Reguler,-,SMAN 08 Bandar Lampung,IPA,Rata - Rata,602.49
Lampung,2018,Reguler,-,SMAN 08 Bandar Lampung,IPS,Terendah,568.5
Lampung,2018,Reguler,-,SMAN 08 Bandar Lampung,IPS,Tertinggi,651.5
Lampung,2018,Reguler,-,SMAN 08 Bandar Lampung,IPS,Rata - Rata,588.42
Lampung,2018,Reguler,-,SMAN 09 Bandar Lampung,IPA,Terendah,675.5
Lampung,2018,Reguler,-,SMAN 09 Bandar Lampung,IPA,Tertinggi,745.5
Lampung,2018,Reguler,-,SMAN 09 Bandar Lampung,IPA,Rata - Rata,700.21
Lampung,2018,Reguler,-,SMAN 09 Bandar Lampung,IPS,Terendah,645.5
Lampung,2018,Reguler,-,SMAN 09 Bandar Lampung,IPS,Tertinggi,723.0
Lampung,2018,Reguler,-,SMAN 09 Bandar Lampung,IPS,Rata - Rata,668.69
Lampung,2018,Reguler,-,SMAN 10 Bandar Lampung,IPA,Terendah,564.5
Lampung,2018,Reguler,-,SMAN 10 Bandar Lampung,IPA,Tertinggi,722.5
Lampung,2018,Reguler,-,SMAN 10 Bandar Lampung,IPA,Rata - Rata,614.98
Lampung,2018,Reguler,-,SMAN 10 Bandar Lampung,IPS,Terendah,565.5
Lampung,2018,Reguler,-,SMAN 10 Bandar Lampung,IPS,Tertinggi,705.0
Lampung,2018,Reguler,-,SMAN 10 Bandar Lampung,IPS,Rata - Rata,607.52
Lampung,2018,Reguler,-,SMAN 11 Bandar Lampung,IPA,Terendah,273.0
Lampung,2018,Reguler,-,SMAN 11 Bandar Lampung,IPA,Tertinggi,659.5
