Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Jakarta,2018,Dalam,1,SMA NEGERI 1,IPA,1,205
Jakarta,2018,Dalam,1,SMA NEGERI 1,IPA,2,103
Jakarta,2018,Dalam,1,SMA NEGERI 1,IPA,3,71
Jakarta,2018,Dalam,1,SMA NEGERI 1,IPS,1,180
Jakarta,2018,Dalam,1,SMA NEGERI 1,IPS,2,82
Jakarta,2018,Dalam,1,SMA NEGERI 1,IPS,3,57
Jakarta,2018,Dalam,1,SMA NEGERI 2,IPA,1,243
Jakarta,2018,Dalam,1,SMA NEGERI 2,IPA,2,41
Jakarta,2018,Dalam,1,SMA NEGERI 2,IPA,3,21
Jakarta,2018,Dalam,1,SMA NEGERI 2,IPS,1,183
Jakarta,2018,Dalam,1,SMA NEGERI 2,IPS,2,127
Jakarta,2018,Dalam,1,SMA NEGERI 2,IPS,3,56
Jakarta,2018,Dalam,1,SMA NEGERI 3,IPA,1,159
Jakarta,2018,Dalam,1,SMA NEGERI 3,IPA,2,73
Jakarta,2018,Dalam,1,SMA NEGERI 3,IPA,3,72
Jakarta,2018,Dalam,1,SMA NEGERI 3,IPS,1,140
Jakarta,2018,Dalam,1,SMA NEGERI 3,IPS,2,101
Jakarta,2018,Dalam,1,SMA NEGERI 3,IPS,3,63
Jakarta,2018,Dalam,1,SMA NEGERI 4,IPA,1,74
Jakarta,2018,Dalam,1,SMA NEGERI 4,IPA,2,85
Jakarta,2018,Dalam,1,SMA NEGERI 4,IPA,3,54
Jakarta,2018,Dalam,1,SMA NEGERI 4,IPS,1,75
Jakarta,2018,Dalam,1,SMA NEGERI 4,IPS,2,123
Jakarta,2018,Dalam,1,SMA NEGERI 4,IPS,3,58
Jakarta,2018,Dalam,1,SMA NEGERI 4,BAHASA,1,38
Jakarta,2018,Dalam,1,SMA NEGERI 4,BAHASA,2,22
Jakarta,2018,Dalam,1,SMA NEGERI 4,BAHASA,3,23
Jakarta,2018,Dalam,1,SMA NEGERI 5,IPA,1,131
Jakarta,2018,Dalam,1,SMA NEGERI 5,IPA,2,94
Jakarta,2018,Dalam,1,SMA NEGERI 5,IPA,3,88
Jakarta,2018,Dalam,1,SMA NEGERI 5,IPS,1,190
Jakarta,2018,Dalam,1,SMA NEGERI 5,IPS,2,136
Jakarta,2018,Dalam,1,SMA NEGERI 5,IPS,3,124
Jakarta,2018,Dalam,1,SMA NEGERI 6,IPA,1,147
Jakarta,2018,Dalam,1,SMA NEGERI 6,IPA,2,190
Jakarta,2018,Dalam,1,SMA NEGERI 6,IPA,3,110
Jakarta,2018,Dalam,1,SMA NEGERI 6,IPS,1,184
Jakarta,2018,Dalam,1,SMA NEGERI 6,IPS,2,166
Jakarta,2018,Dalam,1,SMA NEGERI 6,IPS,3,83
Jakarta,2018,Dalam,1,SMA NEGERI 7,IPA,1,142
Jakarta,2018,Dalam,1,SMA NEGERI 7,IPA,2,146
Jakarta,2018,Dalam,1,SMA NEGERI 7,IPA,3,149
Jakarta,2018,Dalam,1,SMA NEGERI 7,IPS,1,116
Jakarta,2018,Dalam,1,SMA NEGERI 7,IPS,2,142
Jakarta,2018,Dalam,1,SMA NEGERI 7,IPS,3,154
Jakarta,2018,Dalam,1,SMA NEGERI 8,IPA,1,326
Jakarta,2018,Dalam,1,SMA NEGERI 8,IPA,2,27
Jakarta,2018,Dalam,1,SMA NEGERI 8,IPA,3,4
Jakarta,2018,Dalam,1,SMA NEGERI 8,IPS,1,81
Jakarta,2018,Dalam,1,SMA NEGERI 8,IPS,2,44
Jakarta,2018,Dalam,1,SMA NEGERI 8,IPS,3,11
Jakarta,2018,Dalam,1,SMA NEGERI 9,IPA,1,131
Jakarta,2018,Dalam,1,SMA NEGERI 9,IPA,2,150
Jakarta,2018,Dalam,1,SMA NEGERI 9,IPA,3,173
Jakarta,2018,Dalam,1,SMA NEGERI 9,IPS,1,245
Jakarta,2018,Dalam,1,SMA NEGERI 9,IPS,2,206
Jakarta,2018,Dalam,1,SMA NEGERI 9,IPS,3,257
Jakarta,2018,Dalam,1,SMA NEGERI 10,IPA,1,74
Jakarta,2018,Dalam,1,SMA NEGERI 10,IPA,2,87
Jakarta,2018,Dalam,1,SMA NEGERI 10,IPA,3,85
Jakarta,2018,Dalam,1,SMA NEGERI 10,IPS,1,107
Jakarta,2018,Dalam,1,SMA NEGERI 10,IPS,2,130
Jakarta,2018,Dalam,1,SMA NEGERI 10,IPS,3,156
Jakarta,2018,Dalam,1,SMA NEGERI 11,IPA,1,95
Jakarta,2018,Dalam,1,SMA NEGERI 11,IPA,2,71
Jakarta,2018,Dalam,1,SMA NEGERI 11,IPA,3,98
Jakarta,2018,Dalam,1,SMA NEGERI 11,IPS,1,178
Jakarta,2018,Dalam,1,SMA NEGERI 11,IPS,2,118
Jakarta,2018,Dalam,1,SMA NEGERI 11,IPS,3,113
Jakarta,2018,Dalam,1,SMA NEGERI 12,IPA,1,119
Jakarta,2018,Dalam,1,SMA NEGERI 12,IPA,2,122
Jakarta,2018,Dalam,1,SMA NEGERI 12,IPA,3,92
Jakarta,2018,Dalam,1,SMA NEGERI 12,IPS,1,127
Jakarta,2018,Dalam,1,SMA NEGERI 12,IPS,2,105
Jakarta,2018,Dalam,1,SMA NEGERI 12,IPS,3,68
Jakarta,2018,Dalam,1,SMA NEGERI 13,IPA,1,405
Jakarta,2018,Dalam,1,SMA NEGERI 13,IPA,2,51
Jakarta,2018,Dalam,1,SMA NEGERI 13,IPA,3,21
Jakarta,2018,Dalam,1,SMA NEGERI 13,IPS,1,221
Jakarta,2018,Dalam,1,SMA NEGERI 13,IPS,2,111
