Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Indikator,Nilai UN,Jumlah Nilai UN
Jakarta,2018,Dalam,2,SMAN 1,IPA,Terendah,78.5,-
Jakarta,2018,Dalam,2,SMAN 1,IPA,Tertinggi,88.25,-
Jakarta,2018,Dalam,2,SMAN 1,IPA,Rata - Rata,82.38,-
Jakarta,2018,Dalam,2,SMAN 1,IPS,Terendah,70.5,-
Jakarta,2018,Dalam,2,SMAN 1,IPS,Tertinggi,78.63,-
Jakarta,2018,Dalam,2,SMAN 1,IPS,Rata - Rata,74.04,-
Jakarta,2018,Dalam,2,SMAN 2,IPA,Terendah,84.25,-
Jakarta,2018,Dalam,2,SMAN 2,IPA,Tertinggi,93.75,-
Jakarta,2018,Dalam,2,SMAN 2,IPA,Rata - Rata,88.42,-
Jakarta,2018,Dalam,2,SMAN 2,IPS,Terendah,80.63,-
Jakarta,2018,Dalam,2,SMAN 2,IPS,Tertinggi,89.5,-
Jakarta,2018,Dalam,2,SMAN 2,IPS,Rata - Rata,83.42,-
Jakarta,2018,Dalam,2,SMAN 3,IPA,Terendah,70.5,-
Jakarta,2018,Dalam,2,SMAN 3,IPA,Tertinggi,84.13,-
Jakarta,2018,Dalam,2,SMAN 3,IPA,Rata - Rata,75.14,-
Jakarta,2018,Dalam,2,SMAN 3,IPS,Terendah,68.5,-
Jakarta,2018,Dalam,2,SMAN 3,IPS,Tertinggi,79.63,-
Jakarta,2018,Dalam,2,SMAN 3,IPS,Rata - Rata,70.8,-
Jakarta,2018,Dalam,2,SMAN 4,IPA,Terendah,63.75,-
Jakarta,2018,Dalam,2,SMAN 4,IPA,Tertinggi,78,-
Jakarta,2018,Dalam,2,SMAN 4,IPA,Rata - Rata,67.06,-
Jakarta,2018,Dalam,2,SMAN 4,IPS,Terendah,63.75,-
Jakarta,2018,Dalam,2,SMAN 4,IPS,Tertinggi,69.88,-
Jakarta,2018,Dalam,2,SMAN 4,IPS,Rata - Rata,65.51,-
Jakarta,2018,Dalam,2,SMAN 4,BAHASA,Terendah,62.63,-
Jakarta,2018,Dalam,2,SMAN 4,BAHASA,Tertinggi,68.88,-
Jakarta,2018,Dalam,2,SMAN 4,BAHASA,Rata - Rata,64.08,-
Jakarta,2018,Dalam,2,SMAN 5,IPA,Terendah,63.25,-
Jakarta,2018,Dalam,2,SMAN 5,IPA,Tertinggi,78.13,-
Jakarta,2018,Dalam,2,SMAN 5,IPA,Rata - Rata,68.08,-
Jakarta,2018,Dalam,2,SMAN 5,IPS,Terendah,61.88,-
Jakarta,2018,Dalam,2,SMAN 5,IPS,Tertinggi,70.13,-
Jakarta,2018,Dalam,2,SMAN 5,IPS,Rata - Rata,64.49,-
Jakarta,2018,Dalam,2,SMAN 6,IPA,Terendah,76.75,-
Jakarta,2018,Dalam,2,SMAN 6,IPA,Tertinggi,89.13,-
Jakarta,2018,Dalam,2,SMAN 6,IPA,Rata - Rata,79.18,-
Jakarta,2018,Dalam,2,SMAN 6,IPS,Terendah,72.5,-
Jakarta,2018,Dalam,2,SMAN 6,IPS,Tertinggi,81.88,-
Jakarta,2018,Dalam,2,SMAN 6,IPS,Rata - Rata,75.07,-
Jakarta,2018,Dalam,2,SMAN 7,IPA,Terendah,62.88,-
Jakarta,2018,Dalam,2,SMAN 7,IPA,Tertinggi,68.13,-
Jakarta,2018,Dalam,2,SMAN 7,IPA,Rata - Rata,63.82,-
Jakarta,2018,Dalam,2,SMAN 7,IPS,Terendah,62.75,-
Jakarta,2018,Dalam,2,SMAN 7,IPS,Tertinggi,72.25,-
Jakarta,2018,Dalam,2,SMAN 7,IPS,Rata - Rata,64.2,-
Jakarta,2018,Dalam,2,SMAN 8,IPA,Terendah,90.63,-
