Tahun,Domisili,Tahap,Sekolah,Jurusan,Pilihan,Peminat
2017,Dalam,3,SMA NEGERI 2,IPA,1,26
2017,Dalam,3,SMA NEGERI 2,IPA,2,9
2017,Dalam,3,SMA NEGERI 2,IPA,3,2
2017,Dalam,3,SMA NEGERI 2,IPS,1,18
2017,Dalam,3,SMA NEGERI 2,IPS,2,14
2017,Dalam,3,SMA NEGERI 2,IPS,3,10
2017,Dalam,3,SMA NEGERI 3,IPA,1,66
2017,Dalam,3,SMA NEGERI 3,IPA,2,30
2017,Dalam,3,SMA NEGERI 3,IPA,3,14
2017,Dalam,3,SMA NEGERI 3,IPS,1,33
2017,Dalam,3,SMA NEGERI 3,IPS,2,28
2017,Dalam,3,SMA NEGERI 3,IPS,3,14
2017,Dalam,3,SMA NEGERI 4,IPA,1,16
2017,Dalam,3,SMA NEGERI 4,IPA,2,5
2017,Dalam,3,SMA NEGERI 4,IPA,3,14
2017,Dalam,3,SMA NEGERI 4,IPS,1,0
2017,Dalam,3,SMA NEGERI 4,IPS,2,0
2017,Dalam,3,SMA NEGERI 4,IPS,3,0
2017,Dalam,3,SMA NEGERI 4,BAHASA,1,26
2017,Dalam,3,SMA NEGERI 4,BAHASA,2,12
2017,Dalam,3,SMA NEGERI 4,BAHASA,3,7
2017,Dalam,3,SMA NEGERI 5,IPA,1,12
2017,Dalam,3,SMA NEGERI 5,IPA,2,3
2017,Dalam,3,SMA NEGERI 5,IPA,3,7
2017,Dalam,3,SMA NEGERI 5,IPS,1,32
2017,Dalam,3,SMA NEGERI 5,IPS,2,12
2017,Dalam,3,SMA NEGERI 5,IPS,3,15
2017,Dalam,3,SMA NEGERI 6,IPA,1,10
2017,Dalam,3,SMA NEGERI 6,IPA,2,2
2017,Dalam,3,SMA NEGERI 6,IPA,3,8
2017,Dalam,3,SMA NEGERI 6,IPS,1,42
2017,Dalam,3,SMA NEGERI 6,IPS,2,25
2017,Dalam,3,SMA NEGERI 6,IPS,3,14
2017,Dalam,3,SMA NEGERI 7,IPA,1,0
2017,Dalam,3,SMA NEGERI 7,IPA,2,0
2017,Dalam,3,SMA NEGERI 7,IPA,3,0
2017,Dalam,3,SMA NEGERI 7,IPS,1,118
2017,Dalam,3,SMA NEGERI 7,IPS,2,59
2017,Dalam,3,SMA NEGERI 7,IPS,3,62
2017,Dalam,3,SMA NEGERI 8,IPA,1,21
2017,Dalam,3,SMA NEGERI 8,IPA,2,6
2017,Dalam,3,SMA NEGERI 8,IPA,3,4
2017,Dalam,3,SMA NEGERI 8,IPS,1,0
2017,Dalam,3,SMA NEGERI 8,IPS,2,0
2017,Dalam,3,SMA NEGERI 8,IPS,3,0
2017,Dalam,3,SMA NEGERI 9,IPA,1,61
2017,Dalam,3,SMA NEGERI 9,IPA,2,40
2017,Dalam,3,SMA NEGERI 9,IPA,3,29
2017,Dalam,3,SMA NEGERI 9,IPS,1,0
2017,Dalam,3,SMA NEGERI 9,IPS,2,0
2017,Dalam,3,SMA NEGERI 9,IPS,3,0
2017,Dalam,3,SMA NEGERI 10,IPA,1,49
2017,Dalam,3,SMA NEGERI 10,IPA,2,43
2017,Dalam,3,SMA NEGERI 10,IPA,3,33
2017,Dalam,3,SMA NEGERI 10,IPS,1,66
2017,Dalam,3,SMA NEGERI 10,IPS,2,81
2017,Dalam,3,SMA NEGERI 10,IPS,3,79
2017,Dalam,3,SMA NEGERI 11,IPA,1,0
2017,Dalam,3,SMA NEGERI 11,IPA,2,0
2017,Dalam,3,SMA NEGERI 11,IPA,3,0
2017,Dalam,3,SMA NEGERI 11,IPS,1,55
2017,Dalam,3,SMA NEGERI 11,IPS,2,21
2017,Dalam,3,SMA NEGERI 11,IPS,3,21
2017,Dalam,3,SMA NEGERI 12,IPA,1,0
2017,Dalam,3,SMA NEGERI 12,IPA,2,0
2017,Dalam,3,SMA NEGERI 12,IPA,3,0
2017,Dalam,3,SMA NEGERI 12,IPS,1,29
2017,Dalam,3,SMA NEGERI 12,IPS,2,18
2017,Dalam,3,SMA NEGERI 12,IPS,3,8
2017,Dalam,3,SMA NEGERI 13,IPA,1,0
2017,Dalam,3,SMA NEGERI 13,IPA,2,0
2017,Dalam,3,SMA NEGERI 13,IPA,3,0
2017,Dalam,3,SMA NEGERI 13,IPS,1,13
2017,Dalam,3,SMA NEGERI 13,IPS,2,7
2017,Dalam,3,SMA NEGERI 13,IPS,3,3
2017,Dalam,3,SMA NEGERI 14,IPA,1,23
2017,Dalam,3,SMA NEGERI 14,IPA,2,9
2017,Dalam,3,SMA NEGERI 14,IPA,3,8
2017,Dalam,3,SMA NEGERI 14,IPS,1,0
2017,Dalam,3,SMA NEGERI 14,IPS,2,0
2017,Dalam,3,SMA NEGERI 14,IPS,3,0
2017,Dalam,3,SMA NEGERI 15,IPA,1,15
2017,Dalam,3,SMA NEGERI 15,IPA,2,23
2017,Dalam,3,SMA NEGERI 15,IPA,3,11
2017,Dalam,3,SMA NEGERI 15,IPS,1,70
2017,Dalam,3,SMA NEGERI 15,IPS,2,85
2017,Dalam,3,SMA NEGERI 15,IPS,3,67
2017,Dalam,3,SMA NEGERI 16,IPA,1,17
2017,Dalam,3,SMA NEGERI 16,IPA,2,11
2017,Dalam,3,SMA NEGERI 16,IPA,3,12
2017,Dalam,3,SMA NEGERI 16,IPS,1,49
2017,Dalam,3,SMA NEGERI 16,IPS,2,28
2017,Dalam,3,SMA NEGERI 16,IPS,3,25
2017,Dalam,3,SMA NEGERI 17,IPA,1,0
2017,Dalam,3,SMA NEGERI 17,IPA,2,0
2017,Dalam,3,SMA NEGERI 17,IPA,3,0
2017,Dalam,3,SMA NEGERI 17,IPS,1,113
2017,Dalam,3,SMA NEGERI 17,IPS,2,86
2017,Dalam,3,SMA NEGERI 17,IPS,3,78
2017,Dalam,3,SMA NEGERI 18,IPA,1,0
2017,Dalam,3,SMA NEGERI 18,IPA,2,0
2017,Dalam,3,SMA NEGERI 18,IPA,3,0
2017,Dalam,3,SMA NEGERI 18,IPS,1,47
2017,Dalam,3,SMA NEGERI 18,IPS,2,27
2017,Dalam,3,SMA NEGERI 18,IPS,3,24
2017,Dalam,3,SMA NEGERI 18,BAHASA,1,46
2017,Dalam,3,SMA NEGERI 18,BAHASA,2,33
2017,Dalam,3,SMA NEGERI 18,BAHASA,3,13
2017,Dalam,3,SMA NEGERI 19,IPA,1,115
2017,Dalam,3,SMA NEGERI 19,IPA,2,66
2017,Dalam,3,SMA NEGERI 19,IPA,3,32
2017,Dalam,3,SMA NEGERI 19,IPS,1,83
2017,Dalam,3,SMA NEGERI 19,IPS,2,113
2017,Dalam,3,SMA NEGERI 19,IPS,3,67
2017,Dalam,3,SMA NEGERI 20,IPA,1,12
2017,Dalam,3,SMA NEGERI 20,IPA,2,15
2017,Dalam,3,SMA NEGERI 20,IPA,3,19
2017,Dalam,3,SMA NEGERI 20,IPS,1,47
2017,Dalam,3,SMA NEGERI 20,IPS,2,66
2017,Dalam,3,SMA NEGERI 20,IPS,3,67
2017,Dalam,3,SMA NEGERI 21,IPA,1,2
2017,Dalam,3,SMA NEGERI 21,IPA,2,4
2017,Dalam,3,SMA NEGERI 21,IPA,3,2
2017,Dalam,3,SMA NEGERI 21,IPS,1,8
2017,Dalam,3,SMA NEGERI 21,IPS,2,7
2017,Dalam,3,SMA NEGERI 21,IPS,3,7
2017,Dalam,3,SMA NEGERI 22,IPA,1,19
2017,Dalam,3,SMA NEGERI 22,IPA,2,7
2017,Dalam,3,SMA NEGERI 22,IPA,3,10
2017,Dalam,3,SMA NEGERI 22,IPS,1,74
2017,Dalam,3,SMA NEGERI 22,IPS,2,44
2017,Dalam,3,SMA NEGERI 22,IPS,3,44
2017,Dalam,3,SMA NEGERI 23,IPA,1,46
2017,Dalam,3,SMA NEGERI 23,IPA,2,21
2017,Dalam,3,SMA NEGERI 23,IPA,3,22
2017,Dalam,3,SMA NEGERI 23,IPS,1,0
2017,Dalam,3,SMA NEGERI 23,IPS,2,0
2017,Dalam,3,SMA NEGERI 23,IPS,3,0
2017,Dalam,3,SMA NEGERI 24,IPA,1,43
2017,Dalam,3,SMA NEGERI 24,IPA,2,51
2017,Dalam,3,SMA NEGERI 24,IPA,3,40
2017,Dalam,3,SMA NEGERI 24,IPS,1,0
2017,Dalam,3,SMA NEGERI 24,IPS,2,0
2017,Dalam,3,SMA NEGERI 24,IPS,3,0
2017,Dalam,3,SMA NEGERI 25,IPA,1,38
2017,Dalam,3,SMA NEGERI 25,IPA,2,27
2017,Dalam,3,SMA NEGERI 25,IPA,3,24
2017,Dalam,3,SMA NEGERI 25,IPS,1,74
2017,Dalam,3,SMA NEGERI 25,IPS,2,86
2017,Dalam,3,SMA NEGERI 25,IPS,3,70
2017,Dalam,3,SMA NEGERI 26,IPA,1,21
2017,Dalam,3,SMA NEGERI 26,IPA,2,9
2017,Dalam,3,SMA NEGERI 26,IPA,3,6
2017,Dalam,3,SMA NEGERI 26,IPS,1,0
2017,Dalam,3,SMA NEGERI 26,IPS,2,0
2017,Dalam,3,SMA NEGERI 26,IPS,3,0
2017,Dalam,3,SMA NEGERI 27,IPA,1,37
2017,Dalam,3,SMA NEGERI 27,IPA,2,29
2017,Dalam,3,SMA NEGERI 27,IPA,3,27
