Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Indikator,Nilai
Jakarta,2017,Dalam,3,SMA NEGERI 2,IPA,Terendah,86.75
Jakarta,2017,Dalam,3,SMA NEGERI 2,IPS,Terendah,88.25
Jakarta,2017,Dalam,3,SMA NEGERI 3,IPA,Terendah,78
Jakarta,2017,Dalam,3,SMA NEGERI 3,IPS,Terendah,77.38
Jakarta,2017,Dalam,3,SMA NEGERI 4,IPA,Terendah,71.63
Jakarta,2017,Dalam,3,SMA NEGERI 4,IPS,Terendah,0
Jakarta,2017,Dalam,3,SMA NEGERI 4,BAHASA,Terendah,68
Jakarta,2017,Dalam,3,SMA NEGERI 5,IPA,Terendah,66.63
Jakarta,2017,Dalam,3,SMA NEGERI 5,IPS,Terendah,68.13
Jakarta,2017,Dalam,3,SMA NEGERI 6,IPA,Terendah,87.63
Jakarta,2017,Dalam,3,SMA NEGERI 6,IPS,Terendah,75.5
Jakarta,2017,Dalam,3,SMA NEGERI 7,IPA,Terendah,0
Jakarta,2017,Dalam,3,SMA NEGERI 7,IPS,Terendah,67.5
Jakarta,2017,Dalam,3,SMA NEGERI 8,IPA,Terendah,92.63
Jakarta,2017,Dalam,3,SMA NEGERI 8,IPS,Terendah,0
Jakarta,2017,Dalam,3,SMA NEGERI 9,IPA,Terendah,79.88
Jakarta,2017,Dalam,3,SMA NEGERI 9,IPS,Terendah,0
Jakarta,2017,Dalam,3,SMA NEGERI 10,IPA,Terendah,68.5
Jakarta,2017,Dalam,3,SMA NEGERI 10,IPS,Terendah,67.88
Jakarta,2017,Dalam,3,SMA NEGERI 11,IPA,Terendah,0
Jakarta,2017,Dalam,3,SMA NEGERI 11,IPS,Terendah,73.75
Jakarta,2017,Dalam,3,SMA NEGERI 12,IPA,Terendah,0
Jakarta,2017,Dalam,3,SMA NEGERI 12,IPS,Terendah,82.13
Jakarta,2017,Dalam,3,SMA NEGERI 13,IPA,Terendah,0
Jakarta,2017,Dalam,3,SMA NEGERI 13,IPS,Terendah,78.5
Jakarta,2017,Dalam,3,SMA NEGERI 14,IPA,Terendah,88.88
Jakarta,2017,Dalam,3,SMA NEGERI 14,IPS,Terendah,0
Jakarta,2017,Dalam,3,SMA NEGERI 15,IPA,Terendah,79.5
Jakarta,2017,Dalam,3,SMA NEGERI 15,IPS,Terendah,65.63
Jakarta,2017,Dalam,3,SMA NEGERI 16,IPA,Terendah,73.63
Jakarta,2017,Dalam,3,SMA NEGERI 16,IPS,Terendah,75.75
Jakarta,2017,Dalam,3,SMA NEGERI 17,IPA,Terendah,0
Jakarta,2017,Dalam,3,SMA NEGERI 17,IPS,Terendah,65.5
Jakarta,2017,Dalam,3,SMA NEGERI 18,IPA,Terendah,0
Jakarta,2017,Dalam,3,SMA NEGERI 18,IPS,Terendah,71.88
Jakarta,2017,Dalam,3,SMA NEGERI 18,BAHASA,Terendah,65
Jakarta,2017,Dalam,3,SMA NEGERI 19,IPA,Terendah,64.5
Jakarta,2017,Dalam,3,SMA NEGERI 19,IPS,Terendah,64.38
Jakarta,2017,Dalam,3,SMA NEGERI 20,IPA,Terendah,67.13
Jakarta,2017,Dalam,3,SMA NEGERI 20,IPS,Terendah,66.13
Jakarta,2017,Dalam,3,SMA NEGERI 21,IPA,Terendah,91.25
Jakarta,2017,Dalam,3,SMA NEGERI 21,IPS,Terendah,84.75
Jakarta,2017,Dalam,3,SMA NEGERI 22,IPA,Terendah,70.25
