Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Kapasitas
Jakarta,2018,Luar,-,SMAN 1,IPA,8
Jakarta,2018,Luar,-,SMAN 1,IPS,5
Jakarta,2018,Luar,-,SMAN 2,IPA,7
Jakarta,2018,Luar,-,SMAN 2,IPS,5
Jakarta,2018,Luar,-,SMAN 3,IPA,8
Jakarta,2018,Luar,-,SMAN 3,IPS,6
Jakarta,2018,Luar,-,SMAN 4,IPA,5
Jakarta,2018,Luar,-,SMAN 4,IPS,3
Jakarta,2018,Luar,-,SMAN 4,BAHASA,2
Jakarta,2018,Luar,-,SMAN 5,IPA,7
Jakarta,2018,Luar,-,SMAN 5,IPS,6
Jakarta,2018,Luar,-,SMAN 6,IPA,8
Jakarta,2018,Luar,-,SMAN 6,IPS,7
Jakarta,2018,Luar,-,SMAN 7,IPA,7
Jakarta,2018,Luar,-,SMAN 7,IPS,5
Jakarta,2018,Luar,-,SMAN 8,IPA,15
Jakarta,2018,Luar,-,SMAN 8,IPS,2
Jakarta,2018,Luar,-,SMAN 9,IPA,6
Jakarta,2018,Luar,-,SMAN 9,IPS,5
Jakarta,2018,Luar,-,SMAN 10,IPA,3
Jakarta,2018,Luar,-,SMAN 10,IPS,5
Jakarta,2018,Luar,-,SMAN 11,IPA,5
Jakarta,2018,Luar,-,SMAN 11,IPS,5
Jakarta,2018,Luar,-,SMAN 12,IPA,5
Jakarta,2018,Luar,-,SMAN 12,IPS,5
Jakarta,2018,Luar,-,SMAN 13,IPA,9
Jakarta,2018,Luar,-,SMAN 13,IPS,5
Jakarta,2018,Luar,-,SMAN 14,IPA,9
Jakarta,2018,Luar,-,SMAN 14,IPS,3
Jakarta,2018,Luar,-,SMAN 15,IPA,5
Jakarta,2018,Luar,-,SMAN 15,IPS,5
Jakarta,2018,Luar,-,SMAN 16,IPA,7
Jakarta,2018,Luar,-,SMAN 16,IPS,5
Jakarta,2018,Luar,-,SMAN 17,IPA,7
Jakarta,2018,Luar,-,SMAN 17,IPS,5
Jakarta,2018,Luar,-,SMAN 18,IPA,5
Jakarta,2018,Luar,-,SMAN 18,IPS,5
Jakarta,2018,Luar,-,SMAN 18,BAHASA,2
Jakarta,2018,Luar,-,SMAN 19,IPA,5
Jakarta,2018,Luar,-,SMAN 19,IPS,5
Jakarta,2018,Luar,-,SMAN 20,IPA,3
Jakarta,2018,Luar,-,SMAN 20,IPS,5
Jakarta,2018,Luar,-,SMAN 21,IPA,7
Jakarta,2018,Luar,-,SMAN 21,IPS,5
Jakarta,2018,Luar,-,SMAN 22,IPA,8
Jakarta,2018,Luar,-,SMAN 22,IPS,7
Jakarta,2018,Luar,-,SMAN 23,IPA,5
Jakarta,2018,Luar,-,SMAN 23,IPS,5
Jakarta,2018,Luar,-,SMAN 24,IPA,5
Jakarta,2018,Luar,-,SMAN 24,IPS,3
Jakarta,2018,Luar,-,SMAN 25,IPA,3
Jakarta,2018,Luar,-,SMAN 25,IPS,5
Jakarta,2018,Luar,-,SMAN 26,IPA,5
Jakarta,2018,Luar,-,SMAN 26,IPS,5
Jakarta,2018,Luar,-,SMAN 27,IPA,5
Jakarta,2018,Luar,-,SMAN 27,IPS,7
Jakarta,2018,Luar,-,SMAN 28,IPA,9
Jakarta,2018,Luar,-,SMAN 28,IPS,3
Jakarta,2018,Luar,-,SMAN 29,IPA,7
Jakarta,2018,Luar,-,SMAN 29,IPS,5
Jakarta,2018,Luar,-,SMAN 30,IPA,7
Jakarta,2018,Luar,-,SMAN 30,IPS,7
Jakarta,2018,Luar,-,SMAN 31,IPA,8
Jakarta,2018,Luar,-,SMAN 31,IPS,8
Jakarta,2018,Luar,-,SMAN 31,BAHASA,2
Jakarta,2018,Luar,-,SMAN 32,IPA,7
Jakarta,2018,Luar,-,SMAN 32,IPS,7
Jakarta,2018,Luar,-,SMAN 33,IPA,5
Jakarta,2018,Luar,-,SMAN 33,IPS,5
Jakarta,2018,Luar,-,SMAN 33,BAHASA,2
Jakarta,2018,Luar,-,SMAN 34,IPA,8
Jakarta,2018,Luar,-,SMAN 34,IPS,5
Jakarta,2018,Luar,-,SMAN 35,IPA,5
Jakarta,2018,Luar,-,SMAN 35,IPS,5
Jakarta,2018,Luar,-,SMAN 35,BAHASA,2
Jakarta,2018,Luar,-,SMAN 36,IPA,7
Jakarta,2018,Luar,-,SMAN 36,IPS,7
Jakarta,2018,Luar,-,SMAN 37,IPA,7
Jakarta,2018,Luar,-,SMAN 37,IPS,5
Jakarta,2018,Luar,-,SMAN 38,IPA,7
Jakarta,2018,Luar,-,SMAN 38,IPS,5
Jakarta,2018,Luar,-,SMAN 39,IPA,8
Jakarta,2018,Luar,-,SMAN 39,IPS,3
Jakarta,2018,Luar,-,SMAN 40,IPA,3
Jakarta,2018,Luar,-,SMAN 40,IPS,7
Jakarta,2018,Luar,-,SMAN 41,IPA,5
Jakarta,2018,Luar,-,SMAN 41,IPS,5
Jakarta,2018,Luar,-,SMAN 42,IPA,7
Jakarta,2018,Luar,-,SMAN 42,IPS,5
Jakarta,2018,Luar,-,SMAN 43,IPA,5
Jakarta,2018,Luar,-,SMAN 43,IPS,5
Jakarta,2018,Luar,-,SMAN 44,IPA,7
Jakarta,2018,Luar,-,SMAN 44,IPS,5
Jakarta,2018,Luar,-,SMAN 45,IPA,7
Jakarta,2018,Luar,-,SMAN 45,IPS,7
Jakarta,2018,Luar,-,SMAN 46,IPA,7
Jakarta,2018,Luar,-,SMAN 46,IPS,8
Jakarta,2018,Luar,-,SMAN 47,IPA,7
Jakarta,2018,Luar,-,SMAN 47,IPS,7
Jakarta,2018,Luar,-,SMAN 48,IPA,8
Jakarta,2018,Luar,-,SMAN 48,IPS,5
Jakarta,2018,Luar,-,SMAN 49,IPA,7
Jakarta,2018,Luar,-,SMAN 49,IPS,3
Jakarta,2018,Luar,-,SMAN 50,IPA,5
Jakarta,2018,Luar,-,SMAN 50,IPS,7
Jakarta,2018,Luar,-,SMAN 51,IPA,6
Jakarta,2018,Luar,-,SMAN 51,IPS,6
Jakarta,2018,Luar,-,SMAN 52,IPA,7
Jakarta,2018,Luar,-,SMAN 52,IPS,7
Jakarta,2018,Luar,-,SMAN 53,IPA,7
Jakarta,2018,Luar,-,SMAN 53,IPS,5
Jakarta,2018,Luar,-,SMAN 54,IPA,7
Jakarta,2018,Luar,-,SMAN 54,IPS,7
Jakarta,2018,Luar,-,SMAN 55,IPA,7
Jakarta,2018,Luar,-,SMAN 55,IPS,7
Jakarta,2018,Luar,-,SMAN 56,IPA,5
Jakarta,2018,Luar,-,SMAN 56,IPS,5
Jakarta,2018,Luar,-,SMAN 56,BAHASA,2
Jakarta,2018,Luar,-,SMAN 57,IPA,5
Jakarta,2018,Luar,-,SMAN 57,IPS,5
Jakarta,2018,Luar,-,SMAN 58,IPA,7
Jakarta,2018,Luar,-,SMAN 58,IPS,7
Jakarta,2018,Luar,-,SMAN 59,IPA,7
Jakarta,2018,Luar,-,SMAN 59,IPS,5
Jakarta,2018,Luar,-,SMAN 60,IPA,7
Jakarta,2018,Luar,-,SMAN 60,IPS,5
Jakarta,2018,Luar,-,SMAN 61,IPA,7
Jakarta,2018,Luar,-,SMAN 61,IPS,3
Jakarta,2018,Luar,-,SMAN 62,IPA,5
Jakarta,2018,Luar,-,SMAN 62,IPS,5
Jakarta,2018,Luar,-,SMAN 63,IPA,5
Jakarta,2018,Luar,-,SMAN 63,IPS,5
Jakarta,2018,Luar,-,SMAN 64,IPA,5
Jakarta,2018,Luar,-,SMAN 64,IPS,7
Jakarta,2018,Luar,-,SMAN 65,IPA,7
Jakarta,2018,Luar,-,SMAN 65,IPS,3
Jakarta,2018,Luar,-,SMAN 66,IPA,7
Jakarta,2018,Luar,-,SMAN 66,IPS,7
Jakarta,2018,Luar,-,SMAN 67,IPA,5
Jakarta,2018,Luar,-,SMAN 67,IPS,6
Jakarta,2018,Luar,-,SMAN 68,IPA,8
Jakarta,2018,Luar,-,SMAN 68,IPS,5
Jakarta,2018,Luar,-,SMAN 70,IPA,12
Jakarta,2018,Luar,-,SMAN 70,IPS,5
Jakarta,2018,Luar,-,SMAN 71,IPA,7
Jakarta,2018,Luar,-,SMAN 71,IPS,7
Jakarta,2018,Luar,-,SMAN 72,IPA,5
Jakarta,2018,Luar,-,SMAN 72,IPS,5
Jakarta,2018,Luar,-,SMAN 72,BAHASA,2
Jakarta,2018,Luar,-,SMAN 73,IPA,5
Jakarta,2018,Luar,-,SMAN 73,IPS,5
Jakarta,2018,Luar,-,SMAN 74,IPA,5
Jakarta,2018,Luar,-,SMAN 74,IPS,7
Jakarta,2018,Luar,-,SMAN 75,IPA,7
Jakarta,2018,Luar,-,SMAN 75,IPS,5
Jakarta,2018,Luar,-,SMAN 76,IPA,5
Jakarta,2018,Luar,-,SMAN 76,IPS,5
Jakarta,2018,Luar,-,SMAN 77,IPA,5
Jakarta,2018,Luar,-,SMAN 77,IPS,5
Jakarta,2018,Luar,-,SMAN 78,IPA,14
Jakarta,2018,Luar,-,SMAN 78,IPS,3
Jakarta,2018,Luar,-,SMAN 78,BAHASA,2
Jakarta,2018,Luar,-,SMAN 79,IPA,6
Jakarta,2018,Luar,-,SMAN 79,IPS,5
Jakarta,2018,Luar,-,SMAN 80,IPA,7
Jakarta,2018,Luar,-,SMAN 80,IPS,5
Jakarta,2018,Luar,-,SMAN 81,IPA,12
Jakarta,2018,Luar,-,SMAN 81,IPS,3
Jakarta,2018,Luar,-,SMAN 82,IPA,5
Jakarta,2018,Luar,-,SMAN 82,IPS,5
Jakarta,2018,Luar,-,SMAN 83,IPA,5
Jakarta,2018,Luar,-,SMAN 83,IPS,7
Jakarta,2018,Luar,-,SMAN 84,IPA,5
Jakarta,2018,Luar,-,SMAN 84,IPS,5
Jakarta,2018,Luar,-,SMAN 84,BAHASA,2
Jakarta,2018,Luar,-,SMAN 85,IPA,7
Jakarta,2018,Luar,-,SMAN 85,IPS,5
Jakarta,2018,Luar,-,SMAN 86,IPA,5
Jakarta,2018,Luar,-,SMAN 86,IPS,5
Jakarta,2018,Luar,-,SMAN 87,IPA,7
Jakarta,2018,Luar,-,SMAN 87,IPS,5
Jakarta,2018,Luar,-,SMAN 88,IPA,3
Jakarta,2018,Luar,-,SMAN 88,IPS,7
Jakarta,2018,Luar,-,SMAN 89,IPA,7
Jakarta,2018,Luar,-,SMAN 89,IPS,7
Jakarta,2018,Luar,-,SMAN 90,IPA,8
Jakarta,2018,Luar,-,SMAN 90,IPS,7
Jakarta,2018,Luar,-,SMAN 91,IPA,5
Jakarta,2018,Luar,-,SMAN 91,IPS,5
Jakarta,2018,Luar,-,SMAN 92,IPA,5
Jakarta,2018,Luar,-,SMAN 92,IPS,7
Jakarta,2018,Luar,-,SMAN 92,BAHASA,2
Jakarta,2018,Luar,-,SMAN 93,IPA,6
Jakarta,2018,Luar,-,SMAN 93,IPS,4
Jakarta,2018,Luar,-,SMAN 94,IPA,5
Jakarta,2018,Luar,-,SMAN 94,IPS,5
Jakarta,2018,Luar,-,SMAN 95,IPA,7
Jakarta,2018,Luar,-,SMAN 95,IPS,7
Jakarta,2018,Luar,-,SMAN 95,BAHASA,2
Jakarta,2018,Luar,-,SMAN 96,IPA,5
Jakarta,2018,Luar,-,SMAN 96,IPS,7
Jakarta,2018,Luar,-,SMAN 97,IPA,5
Jakarta,2018,Luar,-,SMAN 97,IPS,10
Jakarta,2018,Luar,-,SMAN 98,IPA,8
Jakarta,2018,Luar,-,SMAN 98,IPS,7
Jakarta,2018,Luar,-,SMAN 99,IPA,10
Jakarta,2018,Luar,-,SMAN 99,IPS,7
Jakarta,2018,Luar,-,SMAN 100,IPA,5
Jakarta,2018,Luar,-,SMAN 100,IPS,5
