Provinsi,Tahun,Jalur,Tahap,Sekolah,Jurusan,Indikator,Nilai Akhir
Jawa Tengah,2018,-,-,SMAN 1 Banjarnegara Kab. Banjarnegara,IPA,Terendah,63.65
Jawa Tengah,2018,-,-,SMAN 1 Banjarnegara Kab. Banjarnegara,IPA,Tertinggi,131.8
Jawa Tengah,2018,-,-,SMAN 1 Banjarnegara Kab. Banjarnegara,IPA,Rata - Rata,109.29
Jawa Tengah,2018,-,-,SMAN 1 Banjarnegara Kab. Banjarnegara,IPS,Terendah,62.2
Jawa Tengah,2018,-,-,SMAN 1 Banjarnegara Kab. Banjarnegara,IPS,Tertinggi,123.75
Jawa Tengah,2018,-,-,SMAN 1 Banjarnegara Kab. Banjarnegara,IPS,Rata - Rata,99.51
Jawa Tengah,2018,-,-,SMAN 1 Batur Kab. Banjarnegara,IPA,Terendah,50.1
Jawa Tengah,2018,-,-,SMAN 1 Batur Kab. Banjarnegara,IPA,Tertinggi,104.65
Jawa Tengah,2018,-,-,SMAN 1 Batur Kab. Banjarnegara,IPA,Rata - Rata,71.96
Jawa Tengah,2018,-,-,SMAN 1 Batur Kab. Banjarnegara,IPS,Terendah,53.3
Jawa Tengah,2018,-,-,SMAN 1 Batur Kab. Banjarnegara,IPS,Tertinggi,95.05
Jawa Tengah,2018,-,-,SMAN 1 Batur Kab. Banjarnegara,IPS,Rata - Rata,71.9
Jawa Tengah,2018,-,-,SMAN 1 Bawang Kab. Banjarnegara,IPA,Terendah,48.15
Jawa Tengah,2018,-,-,SMAN 1 Bawang Kab. Banjarnegara,IPA,Tertinggi,125.25
Jawa Tengah,2018,-,-,SMAN 1 Bawang Kab. Banjarnegara,IPA,Rata - Rata,96.6
Jawa Tengah,2018,-,-,SMAN 1 Bawang Kab. Banjarnegara,IPS,Terendah,55.4
Jawa Tengah,2018,-,-,SMAN 1 Bawang Kab. Banjarnegara,IPS,Tertinggi,116.05
Jawa Tengah,2018,-,-,SMAN 1 Bawang Kab. Banjarnegara,IPS,Rata - Rata,91.7
Jawa Tengah,2018,-,-,SMAN 1 Karangkobar Kab. Banjarnegara,IPA,Terendah,40.1
Jawa Tengah,2018,-,-,SMAN 1 Karangkobar Kab. Banjarnegara,IPA,Tertinggi,141.2
Jawa Tengah,2018,-,-,SMAN 1 Karangkobar Kab. Banjarnegara,IPA,Rata - Rata,80.23
Jawa Tengah,2018,-,-,SMAN 1 Karangkobar Kab. Banjarnegara,IPS,Terendah,53.75
Jawa Tengah,2018,-,-,SMAN 1 Karangkobar Kab. Banjarnegara,IPS,Tertinggi,104.15
Jawa Tengah,2018,-,-,SMAN 1 Karangkobar Kab. Banjarnegara,IPS,Rata - Rata,73.39
Jawa Tengah,2018,-,-,SMAN 1 Purwanegara Kab. Banjarnegara,IPA,Terendah,40.4
Jawa Tengah,2018,-,-,SMAN 1 Purwanegara Kab. Banjarnegara,IPA,Tertinggi,117.7
Jawa Tengah,2018,-,-,SMAN 1 Purwanegara Kab. Banjarnegara,IPA,Rata - Rata,70.46
Jawa Tengah,2018,-,-,SMAN 1 Purwanegara Kab. Banjarnegara,IPS,Terendah,47.15
Jawa Tengah,2018,-,-,SMAN 1 Purwanegara Kab. Banjarnegara,IPS,Tertinggi,96.3
