Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Jakarta,2016,Luar,1,SMA NEGERI 1,IPA,1,17
Jakarta,2016,Luar,1,SMA NEGERI 1,IPA,2,9
Jakarta,2016,Luar,1,SMA NEGERI 1,IPA,3,5
Jakarta,2016,Luar,1,SMA NEGERI 1,IPS,1,14
Jakarta,2016,Luar,1,SMA NEGERI 1,IPS,2,7
Jakarta,2016,Luar,1,SMA NEGERI 1,IPS,3,6
Jakarta,2016,Luar,1,SMA NEGERI 2,IPA,1,9
Jakarta,2016,Luar,1,SMA NEGERI 2,IPA,2,9
Jakarta,2016,Luar,1,SMA NEGERI 2,IPA,3,2
Jakarta,2016,Luar,1,SMA NEGERI 2,IPS,1,10
Jakarta,2016,Luar,1,SMA NEGERI 2,IPS,2,2
Jakarta,2016,Luar,1,SMA NEGERI 2,IPS,3,3
Jakarta,2016,Luar,1,SMA NEGERI 3,IPA,1,10
Jakarta,2016,Luar,1,SMA NEGERI 3,IPA,2,15
Jakarta,2016,Luar,1,SMA NEGERI 3,IPA,3,12
Jakarta,2016,Luar,1,SMA NEGERI 3,IPS,1,22
Jakarta,2016,Luar,1,SMA NEGERI 3,IPS,2,9
Jakarta,2016,Luar,1,SMA NEGERI 3,IPS,3,11
Jakarta,2016,Luar,1,SMA NEGERI 4,IPA,1,10
Jakarta,2016,Luar,1,SMA NEGERI 4,IPA,2,8
Jakarta,2016,Luar,1,SMA NEGERI 4,IPA,3,5
Jakarta,2016,Luar,1,SMA NEGERI 4,IPS,1,8
Jakarta,2016,Luar,1,SMA NEGERI 4,IPS,2,7
Jakarta,2016,Luar,1,SMA NEGERI 4,IPS,3,3
Jakarta,2016,Luar,1,SMA NEGERI 4,BAHASA,1,11
Jakarta,2016,Luar,1,SMA NEGERI 4,BAHASA,2,4
Jakarta,2016,Luar,1,SMA NEGERI 4,BAHASA,3,2
Jakarta,2016,Luar,1,SMA NEGERI 5,IPA,1,8
Jakarta,2016,Luar,1,SMA NEGERI 5,IPA,2,4
Jakarta,2016,Luar,1,SMA NEGERI 5,IPA,3,7
Jakarta,2016,Luar,1,SMA NEGERI 5,IPS,1,16
Jakarta,2016,Luar,1,SMA NEGERI 5,IPS,2,9
Jakarta,2016,Luar,1,SMA NEGERI 5,IPS,3,10
Jakarta,2016,Luar,1,SMA NEGERI 6,IPA,1,20
Jakarta,2016,Luar,1,SMA NEGERI 6,IPA,2,25
Jakarta,2016,Luar,1,SMA NEGERI 6,IPA,3,10
Jakarta,2016,Luar,1,SMA NEGERI 6,IPS,1,32
Jakarta,2016,Luar,1,SMA NEGERI 6,IPS,2,16
Jakarta,2016,Luar,1,SMA NEGERI 6,IPS,3,13
Jakarta,2016,Luar,1,SMA NEGERI 7,IPA,1,19
Jakarta,2016,Luar,1,SMA NEGERI 7,IPA,2,13
Jakarta,2016,Luar,1,SMA NEGERI 7,IPA,3,16
Jakarta,2016,Luar,1,SMA NEGERI 7,IPS,1,13
Jakarta,2016,Luar,1,SMA NEGERI 7,IPS,2,14
Jakarta,2016,Luar,1,SMA NEGERI 7,IPS,3,9
Jakarta,2016,Luar,1,SMA NEGERI 8,IPA,1,71
Jakarta,2016,Luar,1,SMA NEGERI 8,IPA,2,9
Jakarta,2016,Luar,1,SMA NEGERI 8,IPA,3,2
Jakarta,2016,Luar,1,SMA NEGERI 8,IPS,1,8
Jakarta,2016,Luar,1,SMA NEGERI 8,IPS,2,6
Jakarta,2016,Luar,1,SMA NEGERI 8,IPS,3,4
Jakarta,2016,Luar,1,SMA NEGERI 9,IPA,1,13
