Tahap,Sekolah,Jurusan,Kapasitas
3,SMA NEGERI 2,MIPA,5
3,SMA NEGERI 2,IPS,1
3,SMA NEGERI 3,MIPA,12
3,SMA NEGERI 3,IPS,1
3,SMA NEGERI 4,MIPA,1
3,SMA NEGERI 4,IPS,0
3,SMA NEGERI 4,BAHASA,1
3,SMA NEGERI 5,MIPA,1
3,SMA NEGERI 5,IPS,1
3,SMA NEGERI 6,MIPA,1
3,SMA NEGERI 6,IPS,5
3,SMA NEGERI 7,MIPA,0
3,SMA NEGERI 7,IPS,3
3,SMA NEGERI 8,MIPA,3
3,SMA NEGERI 8,IPS,0
3,SMA NEGERI 9,MIPA,1
3,SMA NEGERI 9,IPS,0
3,SMA NEGERI 10,MIPA,5
3,SMA NEGERI 10,IPS,1
3,SMA NEGERI 11,MIPA,0
3,SMA NEGERI 11,IPS,1
3,SMA NEGERI 12,MIPA,0
3,SMA NEGERI 12,IPS,3
3,SMA NEGERI 13,MIPA,0
3,SMA NEGERI 13,IPS,1
3,SMA NEGERI 14,MIPA,1
3,SMA NEGERI 14,IPS,0
3,SMA NEGERI 15,MIPA,1
3,SMA NEGERI 15,IPS,1
3,SMA NEGERI 16,MIPA,2
3,SMA NEGERI 16,IPS,1
3,SMA NEGERI 17,MIPA,0
3,SMA NEGERI 17,IPS,5
3,SMA NEGERI 18,MIPA,0
3,SMA NEGERI 18,IPS,1
3,SMA NEGERI 18,BAHASA,1
3,SMA NEGERI 19,MIPA,22
3,SMA NEGERI 19,IPS,20
3,SMA NEGERI 20,MIPA,2
3,SMA NEGERI 20,IPS,2
3,SMA NEGERI 21,MIPA,1
3,SMA NEGERI 21,IPS,2
3,SMA NEGERI 22,MIPA,2
3,SMA NEGERI 22,IPS,6
3,SMA NEGERI 23,MIPA,1
3,SMA NEGERI 23,IPS,0
3,SMA NEGERI 24,MIPA,1
3,SMA NEGERI 24,IPS,0
3,SMA NEGERI 25,MIPA,3
3,SMA NEGERI 25,IPS,7
3,SMA NEGERI 26,MIPA,3
3,SMA NEGERI 26,IPS,0
3,SMA NEGERI 27,MIPA,2
3,SMA NEGERI 27,IPS,0
3,SMA NEGERI 28,MIPA,0
3,SMA NEGERI 28,IPS,1
3,SMA NEGERI 29,MIPA,1
3,SMA NEGERI 29,IPS,1
3,SMA NEGERI 30,MIPA,1
3,SMA NEGERI 30,IPS,2
3,SMA NEGERI 31,MIPA,1
3,SMA NEGERI 31,IPS,0
3,SMA NEGERI 31,BAHASA,0
3,SMA NEGERI 32,MIPA,3
3,SMA NEGERI 32,IPS,0
3,SMA NEGERI 33,MIPA,0
3,SMA NEGERI 33,IPS,1
3,SMA NEGERI 33,BAHASA,0
3,SMA NEGERI 34,MIPA,3
3,SMA NEGERI 34,IPS,1
3,SMA NEGERI 35,MIPA,0
3,SMA NEGERI 35,IPS,0
3,SMA NEGERI 35,BAHASA,2
3,SMA NEGERI 36,MIPA,22
3,SMA NEGERI 36,IPS,20
3,SMA NEGERI 37,MIPA,3
3,SMA NEGERI 37,IPS,1
3,SMA NEGERI 38,MIPA,2
3,SMA NEGERI 38,IPS,0
3,SMA NEGERI 40,MIPA,2
3,SMA NEGERI 40,IPS,4
3,SMA NEGERI 41,MIPA,3
3,SMA NEGERI 41,IPS,2
3,SMA NEGERI 42,MIPA,2
3,SMA NEGERI 42,IPS,3
3,SMA NEGERI 43,MIPA,1
3,SMA NEGERI 43,IPS,1
3,SMA NEGERI 44,MIPA,1
3,SMA NEGERI 44,IPS,0
3,SMA NEGERI 45,MIPA,3
3,SMA NEGERI 45,IPS,3
3,SMA NEGERI 46,MIPA,1
3,SMA NEGERI 46,IPS,3
3,SMA NEGERI 47,MIPA,2
3,SMA NEGERI 47,IPS,1
3,SMA NEGERI 48,MIPA,1
3,SMA NEGERI 48,IPS,2
3,SMA NEGERI 49,MIPA,1
3,SMA NEGERI 49,IPS,0
3,SMA NEGERI 50,MIPA,4
3,SMA NEGERI 50,IPS,1
3,SMA NEGERI 51,MIPA,1
3,SMA NEGERI 51,IPS,3
3,SMA NEGERI 52,MIPA,1
3,SMA NEGERI 52,IPS,0
3,SMA NEGERI 53,MIPA,4
3,SMA NEGERI 53,IPS,2
3,SMA NEGERI 54,MIPA,1
3,SMA NEGERI 54,IPS,0
3,SMA NEGERI 55,MIPA,4
3,SMA NEGERI 55,IPS,1
