Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Indikator,Nilai
Jakarta,2017,Dalam,1,SMA NEGERI 1,IPA,Rata-rata,88.63
Jakarta,2017,Dalam,1,SMA NEGERI 1,IPA,Terendah,87.13
Jakarta,2017,Dalam,1,SMA NEGERI 1,IPA,Tertinggi,91.75
Jakarta,2017,Dalam,1,SMA NEGERI 1,IPS,Rata-rata,82.45
Jakarta,2017,Dalam,1,SMA NEGERI 1,IPS,Terendah,80
Jakarta,2017,Dalam,1,SMA NEGERI 1,IPS,Tertinggi,86.38
Jakarta,2017,Dalam,1,SMA NEGERI 10,IPA,Rata-rata,73.47
Jakarta,2017,Dalam,1,SMA NEGERI 10,IPA,Terendah,68.63
Jakarta,2017,Dalam,1,SMA NEGERI 10,IPA,Tertinggi,83.13
Jakarta,2017,Dalam,1,SMA NEGERI 10,IPS,Rata-rata,65.39
Jakarta,2017,Dalam,1,SMA NEGERI 10,IPS,Terendah,62.75
Jakarta,2017,Dalam,1,SMA NEGERI 10,IPS,Tertinggi,72.13
Jakarta,2017,Dalam,1,SMA NEGERI 100,IPA,Rata-rata,72.09
Jakarta,2017,Dalam,1,SMA NEGERI 100,IPA,Terendah,69.38
Jakarta,2017,Dalam,1,SMA NEGERI 100,IPA,Tertinggi,84.63
Jakarta,2017,Dalam,1,SMA NEGERI 100,IPS,Rata-rata,69.47
Jakarta,2017,Dalam,1,SMA NEGERI 100,IPS,Terendah,67.63
Jakarta,2017,Dalam,1,SMA NEGERI 100,IPS,Tertinggi,77.38
Jakarta,2017,Dalam,1,SMA NEGERI 101,IPA,Rata-rata,74.32
Jakarta,2017,Dalam,1,SMA NEGERI 101,IPA,Terendah,70.63
Jakarta,2017,Dalam,1,SMA NEGERI 101,IPA,Tertinggi,84.88
Jakarta,2017,Dalam,1,SMA NEGERI 101,IPS,Rata-rata,71.01
Jakarta,2017,Dalam,1,SMA NEGERI 101,IPS,Terendah,68.25
Jakarta,2017,Dalam,1,SMA NEGERI 101,IPS,Tertinggi,78.63
Jakarta,2017,Dalam,1,SMA NEGERI 102,IPA,Rata-rata,74.19
Jakarta,2017,Dalam,1,SMA NEGERI 102,IPA,Terendah,69
Jakarta,2017,Dalam,1,SMA NEGERI 102,IPA,Tertinggi,87.25
Jakarta,2017,Dalam,1,SMA NEGERI 102,IPS,Rata-rata,67.14
Jakarta,2017,Dalam,1,SMA NEGERI 102,IPS,Terendah,64.75
Jakarta,2017,Dalam,1,SMA NEGERI 102,IPS,Tertinggi,72.38
Jakarta,2017,Dalam,1,SMA NEGERI 103,IPA,Rata-rata,87.62
Jakarta,2017,Dalam,1,SMA NEGERI 103,IPA,Terendah,86.38
Jakarta,2017,Dalam,1,SMA NEGERI 103,IPA,Tertinggi,91.5
Jakarta,2017,Dalam,1,SMA NEGERI 103,IPS,Rata-rata,79.62
Jakarta,2017,Dalam,1,SMA NEGERI 103,IPS,Terendah,76.75
Jakarta,2017,Dalam,1,SMA NEGERI 103,IPS,Tertinggi,85.63
Jakarta,2017,Dalam,1,SMA NEGERI 104,IPA,Rata-rata,80.46
Jakarta,2017,Dalam,1,SMA NEGERI 104,IPA,Terendah,77.38
Jakarta,2017,Dalam,1,SMA NEGERI 104,IPA,Tertinggi,88.63
Jakarta,2017,Dalam,1,SMA NEGERI 104,IPS,Rata-rata,75.18
Jakarta,2017,Dalam,1,SMA NEGERI 104,IPS,Terendah,73.5
Jakarta,2017,Dalam,1,SMA NEGERI 104,IPS,Tertinggi,81.5
Jakarta,2017,Dalam,1,SMA NEGERI 105,IPA,Rata-rata,82.21
Jakarta,2017,Dalam,1,SMA NEGERI 105,IPA,Terendah,79.75
Jakarta,2017,Dalam,1,SMA NEGERI 105,IPA,Tertinggi,87.25
Jakarta,2017,Dalam,1,SMA NEGERI 105,IPS,Rata-rata,76.35
Jakarta,2017,Dalam,1,SMA NEGERI 105,IPS,Terendah,74.75
Jakarta,2017,Dalam,1,SMA NEGERI 105,IPS,Tertinggi,80.63
Jakarta,2017,Dalam,1,SMA NEGERI 106,IPA,Rata-rata,79.34
Jakarta,2017,Dalam,1,SMA NEGERI 106,IPA,Terendah,76.63
Jakarta,2017,Dalam,1,SMA NEGERI 106,IPA,Tertinggi,83.5
Jakarta,2017,Dalam,1,SMA NEGERI 106,IPS,Rata-rata,72.93
Jakarta,2017,Dalam,1,SMA NEGERI 106,IPS,Terendah,71.38
Jakarta,2017,Dalam,1,SMA NEGERI 106,IPS,Tertinggi,76.63
Jakarta,2017,Dalam,1,SMA NEGERI 107,IPA,Rata-rata,73.22
Jakarta,2017,Dalam,1,SMA NEGERI 107,IPA,Terendah,70.5
Jakarta,2017,Dalam,1,SMA NEGERI 107,IPA,Tertinggi,83.13
Jakarta,2017,Dalam,1,SMA NEGERI 107,IPS,Rata-rata,69.37
Jakarta,2017,Dalam,1,SMA NEGERI 107,IPS,Terendah,67.38
Jakarta,2017,Dalam,1,SMA NEGERI 107,IPS,Tertinggi,74.13
Jakarta,2017,Dalam,1,SMA NEGERI 108,IPA,Rata-rata,74.06
