Tahun,Domisili,Tahap,Sekolah,Jurusan,Pilihan,Peminat
2017,Dalam,1,SMA NEGERI 1,IPA,1,252
2017,Dalam,1,SMA NEGERI 1,IPA,2,159
2017,Dalam,1,SMA NEGERI 1,IPA,3,121
2017,Dalam,1,SMA NEGERI 1,IPS,1,263
2017,Dalam,1,SMA NEGERI 1,IPS,2,162
2017,Dalam,1,SMA NEGERI 1,IPS,3,101
2017,Dalam,1,SMA NEGERI 2,IPA,1,327
2017,Dalam,1,SMA NEGERI 2,IPA,2,93
2017,Dalam,1,SMA NEGERI 2,IPA,3,46
2017,Dalam,1,SMA NEGERI 2,IPS,1,211
2017,Dalam,1,SMA NEGERI 2,IPS,2,133
2017,Dalam,1,SMA NEGERI 2,IPS,3,42
2017,Dalam,1,SMA NEGERI 3,IPA,1,127
2017,Dalam,1,SMA NEGERI 3,IPA,2,95
2017,Dalam,1,SMA NEGERI 3,IPA,3,85
2017,Dalam,1,SMA NEGERI 3,IPS,1,158
2017,Dalam,1,SMA NEGERI 3,IPS,2,124
2017,Dalam,1,SMA NEGERI 3,IPS,3,84
2017,Dalam,1,SMA NEGERI 4,IPA,1,60
2017,Dalam,1,SMA NEGERI 4,IPA,2,78
2017,Dalam,1,SMA NEGERI 4,IPA,3,70
2017,Dalam,1,SMA NEGERI 4,IPS,1,104
2017,Dalam,1,SMA NEGERI 4,IPS,2,109
2017,Dalam,1,SMA NEGERI 4,IPS,3,76
2017,Dalam,1,SMA NEGERI 4,BAHASA,1,52
2017,Dalam,1,SMA NEGERI 4,BAHASA,2,28
2017,Dalam,1,SMA NEGERI 4,BAHASA,3,38
2017,Dalam,1,SMA NEGERI 5,IPA,1,133
2017,Dalam,1,SMA NEGERI 5,IPA,2,74
2017,Dalam,1,SMA NEGERI 5,IPA,3,107
2017,Dalam,1,SMA NEGERI 5,IPS,1,215
2017,Dalam,1,SMA NEGERI 5,IPS,2,126
2017,Dalam,1,SMA NEGERI 5,IPS,3,137
2017,Dalam,1,SMA NEGERI 6,IPA,1,190
2017,Dalam,1,SMA NEGERI 6,IPA,2,193
2017,Dalam,1,SMA NEGERI 6,IPA,3,141
2017,Dalam,1,SMA NEGERI 6,IPS,1,256
2017,Dalam,1,SMA NEGERI 6,IPS,2,176
2017,Dalam,1,SMA NEGERI 6,IPS,3,149
2017,Dalam,1,SMA NEGERI 7,IPA,1,82
2017,Dalam,1,SMA NEGERI 7,IPA,2,59
2017,Dalam,1,SMA NEGERI 7,IPA,3,123
2017,Dalam,1,SMA NEGERI 7,IPS,1,199
2017,Dalam,1,SMA NEGERI 7,IPS,2,152
2017,Dalam,1,SMA NEGERI 7,IPS,3,229
2017,Dalam,1,SMA NEGERI 8,IPA,1,1302
2017,Dalam,1,SMA NEGERI 8,IPA,2,160
2017,Dalam,1,SMA NEGERI 8,IPA,3,122
2017,Dalam,1,SMA NEGERI 8,IPS,1,245
2017,Dalam,1,SMA NEGERI 8,IPS,2,74
2017,Dalam,1,SMA NEGERI 8,IPS,3,53
2017,Dalam,1,SMA NEGERI 9,IPA,1,103
2017,Dalam,1,SMA NEGERI 9,IPA,2,115
2017,Dalam,1,SMA NEGERI 9,IPA,3,192
2017,Dalam,1,SMA NEGERI 9,IPS,1,206
2017,Dalam,1,SMA NEGERI 9,IPS,2,189
2017,Dalam,1,SMA NEGERI 9,IPS,3,278
2017,Dalam,1,SMA NEGERI 10,IPA,1,55
2017,Dalam,1,SMA NEGERI 10,IPA,2,62
2017,Dalam,1,SMA NEGERI 10,IPA,3,62
2017,Dalam,1,SMA NEGERI 10,IPS,1,185
2017,Dalam,1,SMA NEGERI 10,IPS,2,255
2017,Dalam,1,SMA NEGERI 10,IPS,3,191
2017,Dalam,1,SMA NEGERI 11,IPA,1,105
2017,Dalam,1,SMA NEGERI 11,IPA,2,69
2017,Dalam,1,SMA NEGERI 11,IPA,3,83
2017,Dalam,1,SMA NEGERI 11,IPS,1,257
2017,Dalam,1,SMA NEGERI 11,IPS,2,145
2017,Dalam,1,SMA NEGERI 11,IPS,3,129
2017,Dalam,1,SMA NEGERI 12,IPA,1,213
2017,Dalam,1,SMA NEGERI 12,IPA,2,141
2017,Dalam,1,SMA NEGERI 12,IPA,3,90
2017,Dalam,1,SMA NEGERI 12,IPS,1,162
2017,Dalam,1,SMA NEGERI 12,IPS,2,97
2017,Dalam,1,SMA NEGERI 12,IPS,3,83
2017,Dalam,1,SMA NEGERI 13,IPA,1,628
2017,Dalam,1,SMA NEGERI 13,IPA,2,88
2017,Dalam,1,SMA NEGERI 13,IPA,3,68
2017,Dalam,1,SMA NEGERI 13,IPS,1,240
2017,Dalam,1,SMA NEGERI 13,IPS,2,118
2017,Dalam,1,SMA NEGERI 13,IPS,3,46
2017,Dalam,1,SMA NEGERI 14,IPA,1,249
2017,Dalam,1,SMA NEGERI 14,IPA,2,168
2017,Dalam,1,SMA NEGERI 14,IPA,3,128
2017,Dalam,1,SMA NEGERI 14,IPS,1,158
