Tahun,Domisili,Tahap,Sekolah,Jurusan,Pilihan,Peminat
2017,Dalam,2,SMA NEGERI 1,IPA,1,150
2017,Dalam,2,SMA NEGERI 1,IPA,2,60
2017,Dalam,2,SMA NEGERI 1,IPA,3,50
2017,Dalam,2,SMA NEGERI 1,IPS,1,164
2017,Dalam,2,SMA NEGERI 1,IPS,2,88
2017,Dalam,2,SMA NEGERI 1,IPS,3,61
2017,Dalam,2,SMA NEGERI 2,IPA,1,162
2017,Dalam,2,SMA NEGERI 2,IPA,2,24
2017,Dalam,2,SMA NEGERI 2,IPA,3,9
2017,Dalam,2,SMA NEGERI 2,IPS,1,131
2017,Dalam,2,SMA NEGERI 2,IPS,2,95
2017,Dalam,2,SMA NEGERI 2,IPS,3,57
2017,Dalam,2,SMA NEGERI 3,IPA,1,112
2017,Dalam,2,SMA NEGERI 3,IPA,2,62
2017,Dalam,2,SMA NEGERI 3,IPA,3,81
2017,Dalam,2,SMA NEGERI 3,IPS,1,118
2017,Dalam,2,SMA NEGERI 3,IPS,2,72
2017,Dalam,2,SMA NEGERI 3,IPS,3,57
2017,Dalam,2,SMA NEGERI 4,IPA,1,68
2017,Dalam,2,SMA NEGERI 4,IPA,2,88
2017,Dalam,2,SMA NEGERI 4,IPA,3,57
2017,Dalam,2,SMA NEGERI 4,IPS,1,46
2017,Dalam,2,SMA NEGERI 4,IPS,2,82
2017,Dalam,2,SMA NEGERI 4,IPS,3,42
2017,Dalam,2,SMA NEGERI 4,BAHASA,1,58
2017,Dalam,2,SMA NEGERI 4,BAHASA,2,27
2017,Dalam,2,SMA NEGERI 4,BAHASA,3,39
2017,Dalam,2,SMA NEGERI 5,IPA,1,109
2017,Dalam,2,SMA NEGERI 5,IPA,2,71
2017,Dalam,2,SMA NEGERI 5,IPA,3,67
2017,Dalam,2,SMA NEGERI 5,IPS,1,169
2017,Dalam,2,SMA NEGERI 5,IPS,2,116
2017,Dalam,2,SMA NEGERI 5,IPS,3,111
2017,Dalam,2,SMA NEGERI 6,IPA,1,146
2017,Dalam,2,SMA NEGERI 6,IPA,2,167
2017,Dalam,2,SMA NEGERI 6,IPA,3,101
2017,Dalam,2,SMA NEGERI 6,IPS,1,151
2017,Dalam,2,SMA NEGERI 6,IPS,2,120
2017,Dalam,2,SMA NEGERI 6,IPS,3,69
2017,Dalam,2,SMA NEGERI 7,IPA,1,161
2017,Dalam,2,SMA NEGERI 7,IPA,2,105
2017,Dalam,2,SMA NEGERI 7,IPA,3,101
2017,Dalam,2,SMA NEGERI 7,IPS,1,158
2017,Dalam,2,SMA NEGERI 7,IPS,2,162
2017,Dalam,2,SMA NEGERI 7,IPS,3,176
2017,Dalam,2,SMA NEGERI 8,IPA,1,270
2017,Dalam,2,SMA NEGERI 8,IPA,2,13
2017,Dalam,2,SMA NEGERI 8,IPA,3,3
2017,Dalam,2,SMA NEGERI 8,IPS,1,43
2017,Dalam,2,SMA NEGERI 8,IPS,2,35
2017,Dalam,2,SMA NEGERI 8,IPS,3,3
2017,Dalam,2,SMA NEGERI 9,IPA,1,108
2017,Dalam,2,SMA NEGERI 9,IPA,2,137
2017,Dalam,2,SMA NEGERI 9,IPA,3,142
2017,Dalam,2,SMA NEGERI 9,IPS,1,202
2017,Dalam,2,SMA NEGERI 9,IPS,2,213
2017,Dalam,2,SMA NEGERI 9,IPS,3,225
2017,Dalam,2,SMA NEGERI 10,IPA,1,138
2017,Dalam,2,SMA NEGERI 10,IPA,2,125
2017,Dalam,2,SMA NEGERI 10,IPA,3,99
2017,Dalam,2,SMA NEGERI 10,IPS,1,196
2017,Dalam,2,SMA NEGERI 10,IPS,2,187
2017,Dalam,2,SMA NEGERI 10,IPS,3,190
2017,Dalam,2,SMA NEGERI 11,IPA,1,101
2017,Dalam,2,SMA NEGERI 11,IPA,2,63
2017,Dalam,2,SMA NEGERI 11,IPA,3,61
2017,Dalam,2,SMA NEGERI 11,IPS,1,167
2017,Dalam,2,SMA NEGERI 11,IPS,2,107
2017,Dalam,2,SMA NEGERI 11,IPS,3,107
2017,Dalam,2,SMA NEGERI 12,IPA,1,85
2017,Dalam,2,SMA NEGERI 12,IPA,2,82
2017,Dalam,2,SMA NEGERI 12,IPA,3,67
2017,Dalam,2,SMA NEGERI 12,IPS,1,113
2017,Dalam,2,SMA NEGERI 12,IPS,2,81
2017,Dalam,2,SMA NEGERI 12,IPS,3,59
2017,Dalam,2,SMA NEGERI 13,IPA,1,251
2017,Dalam,2,SMA NEGERI 13,IPA,2,16
2017,Dalam,2,SMA NEGERI 13,IPA,3,7
2017,Dalam,2,SMA NEGERI 13,IPS,1,112
2017,Dalam,2,SMA NEGERI 13,IPS,2,91
2017,Dalam,2,SMA NEGERI 13,IPS,3,28
2017,Dalam,2,SMA NEGERI 14,IPA,1,141
2017,Dalam,2,SMA NEGERI 14,IPA,2,80
2017,Dalam,2,SMA NEGERI 14,IPA,3,67
2017,Dalam,2,SMA NEGERI 14,IPS,1,83
2017,Dalam,2,SMA NEGERI 14,IPS,2,50
2017,Dalam,2,SMA NEGERI 14,IPS,3,31
2017,Dalam,2,SMA NEGERI 15,IPA,1,104
2017,Dalam,2,SMA NEGERI 15,IPA,2,141
2017,Dalam,2,SMA NEGERI 15,IPA,3,144
2017,Dalam,2,SMA NEGERI 15,IPS,1,154
2017,Dalam,2,SMA NEGERI 15,IPS,2,278
2017,Dalam,2,SMA NEGERI 15,IPS,3,294
2017,Dalam,2,SMA NEGERI 16,IPA,1,132
2017,Dalam,2,SMA NEGERI 16,IPA,2,122
2017,Dalam,2,SMA NEGERI 16,IPA,3,111
2017,Dalam,2,SMA NEGERI 16,IPS,1,152
2017,Dalam,2,SMA NEGERI 16,IPS,2,174
2017,Dalam,2,SMA NEGERI 16,IPS,3,111
2017,Dalam,2,SMA NEGERI 17,IPA,1,76
2017,Dalam,2,SMA NEGERI 17,IPA,2,91
2017,Dalam,2,SMA NEGERI 17,IPA,3,89
2017,Dalam,2,SMA NEGERI 17,IPS,1,169
2017,Dalam,2,SMA NEGERI 17,IPS,2,159
2017,Dalam,2,SMA NEGERI 17,IPS,3,185
2017,Dalam,2,SMA NEGERI 18,IPA,1,80
2017,Dalam,2,SMA NEGERI 18,IPA,2,89
2017,Dalam,2,SMA NEGERI 18,IPA,3,81
2017,Dalam,2,SMA NEGERI 18,IPS,1,173
2017,Dalam,2,SMA NEGERI 18,IPS,2,124
2017,Dalam,2,SMA NEGERI 18,IPS,3,101
2017,Dalam,2,SMA NEGERI 18,BAHASA,1,76
2017,Dalam,2,SMA NEGERI 18,BAHASA,2,82
2017,Dalam,2,SMA NEGERI 18,BAHASA,3,84
2017,Dalam,2,SMA NEGERI 19,IPA,1,57
2017,Dalam,2,SMA NEGERI 19,IPA,2,78
2017,Dalam,2,SMA NEGERI 19,IPA,3,60
2017,Dalam,2,SMA NEGERI 19,IPS,1,62
2017,Dalam,2,SMA NEGERI 19,IPS,2,166
2017,Dalam,2,SMA NEGERI 19,IPS,3,115
2017,Dalam,2,SMA NEGERI 20,IPA,1,103
2017,Dalam,2,SMA NEGERI 20,IPA,2,121
2017,Dalam,2,SMA NEGERI 20,IPA,3,106
2017,Dalam,2,SMA NEGERI 20,IPS,1,181
2017,Dalam,2,SMA NEGERI 20,IPS,2,217
2017,Dalam,2,SMA NEGERI 20,IPS,3,172
2017,Dalam,2,SMA NEGERI 21,IPA,1,164
2017,Dalam,2,SMA NEGERI 21,IPA,2,50
2017,Dalam,2,SMA NEGERI 21,IPA,3,13
2017,Dalam,2,SMA NEGERI 21,IPS,1,148
2017,Dalam,2,SMA NEGERI 21,IPS,2,63
2017,Dalam,2,SMA NEGERI 21,IPS,3,29
2017,Dalam,2,SMA NEGERI 22,IPA,1,89
2017,Dalam,2,SMA NEGERI 22,IPA,2,111
2017,Dalam,2,SMA NEGERI 22,IPA,3,106
2017,Dalam,2,SMA NEGERI 22,IPS,1,156
2017,Dalam,2,SMA NEGERI 22,IPS,2,166
2017,Dalam,2,SMA NEGERI 22,IPS,3,161
2017,Dalam,2,SMA NEGERI 23,IPA,1,79
2017,Dalam,2,SMA NEGERI 23,IPA,2,41
2017,Dalam,2,SMA NEGERI 23,IPA,3,65
2017,Dalam,2,SMA NEGERI 23,IPS,1,143
2017,Dalam,2,SMA NEGERI 23,IPS,2,114
2017,Dalam,2,SMA NEGERI 23,IPS,3,85
