Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Kapasitas
Jakarta,2018,Dalam,2,SMAN 1,IPA,52
Jakarta,2018,Dalam,2,SMAN 1,IPS,33
Jakarta,2018,Dalam,2,SMAN 2,IPA,39
Jakarta,2018,Dalam,2,SMAN 2,IPS,30
Jakarta,2018,Dalam,2,SMAN 3,IPA,52
Jakarta,2018,Dalam,2,SMAN 3,IPS,41
Jakarta,2018,Dalam,2,SMAN 4,IPA,37
Jakarta,2018,Dalam,2,SMAN 4,IPS,24
Jakarta,2018,Dalam,2,SMAN 4,BAHASA,13
Jakarta,2018,Dalam,2,SMAN 5,IPA,43
Jakarta,2018,Dalam,2,SMAN 5,IPS,48
Jakarta,2018,Dalam,2,SMAN 6,IPA,51
Jakarta,2018,Dalam,2,SMAN 6,IPS,43
Jakarta,2018,Dalam,2,SMAN 7,IPA,44
Jakarta,2018,Dalam,2,SMAN 7,IPS,34
Jakarta,2018,Dalam,2,SMAN 8,IPA,94
Jakarta,2018,Dalam,2,SMAN 8,IPS,10
Jakarta,2018,Dalam,2,SMAN 9,IPA,48
Jakarta,2018,Dalam,2,SMAN 9,IPS,34
Jakarta,2018,Dalam,2,SMAN 10,IPA,23
Jakarta,2018,Dalam,2,SMAN 10,IPS,31
Jakarta,2018,Dalam,2,SMAN 11,IPA,32
Jakarta,2018,Dalam,2,SMAN 11,IPS,31
Jakarta,2018,Dalam,2,SMAN 12,IPA,31
Jakarta,2018,Dalam,2,SMAN 12,IPS,32
Jakarta,2018,Dalam,2,SMAN 13,IPA,50
Jakarta,2018,Dalam,2,SMAN 13,IPS,31
Jakarta,2018,Dalam,2,SMAN 14,IPA,50
Jakarta,2018,Dalam,2,SMAN 14,IPS,21
Jakarta,2018,Dalam,2,SMAN 15,IPA,30
Jakarta,2018,Dalam,2,SMAN 15,IPS,31
Jakarta,2018,Dalam,2,SMAN 16,IPA,40
Jakarta,2018,Dalam,2,SMAN 16,IPS,30
Jakarta,2018,Dalam,2,SMAN 17,IPA,46
Jakarta,2018,Dalam,2,SMAN 17,IPS,36
Jakarta,2018,Dalam,2,SMAN 18,IPA,32
Jakarta,2018,Dalam,2,SMAN 18,IPS,32
Jakarta,2018,Dalam,2,SMAN 18,BAHASA,11
Jakarta,2018,Dalam,2,SMAN 19,IPA,33
Jakarta,2018,Dalam,2,SMAN 19,IPS,36
Jakarta,2018,Dalam,2,SMAN 20,IPA,19
Jakarta,2018,Dalam,2,SMAN 20,IPS,34
Jakarta,2018,Dalam,2,SMAN 21,IPA,43
Jakarta,2018,Dalam,2,SMAN 21,IPS,32
Jakarta,2018,Dalam,2,SMAN 22,IPA,50
Jakarta,2018,Dalam,2,SMAN 22,IPS,40
Jakarta,2018,Dalam,2,SMAN 23,IPA,34
Jakarta,2018,Dalam,2,SMAN 23,IPS,35
Jakarta,2018,Dalam,2,SMAN 24,IPA,37
Jakarta,2018,Dalam,2,SMAN 24,IPS,19
Jakarta,2018,Dalam,2,SMAN 25,IPA,23
Jakarta,2018,Dalam,2,SMAN 25,IPS,36
Jakarta,2018,Dalam,2,SMAN 26,IPA,30
Jakarta,2018,Dalam,2,SMAN 26,IPS,32
Jakarta,2018,Dalam,2,SMAN 27,IPA,31
Jakarta,2018,Dalam,2,SMAN 27,IPS,41
Jakarta,2018,Dalam,2,SMAN 28,IPA,53
Jakarta,2018,Dalam,2,SMAN 28,IPS,22
Jakarta,2018,Dalam,2,SMAN 29,IPA,41
Jakarta,2018,Dalam,2,SMAN 29,IPS,36
Jakarta,2018,Dalam,2,SMAN 30,IPA,44
Jakarta,2018,Dalam,2,SMAN 30,IPS,44
Jakarta,2018,Dalam,2,SMAN 31,IPA,54
Jakarta,2018,Dalam,2,SMAN 31,IPS,53
Jakarta,2018,Dalam,2,SMAN 31,BAHASA,10
Jakarta,2018,Dalam,2,SMAN 32,IPA,41
Jakarta,2018,Dalam,2,SMAN 32,IPS,43
Jakarta,2018,Dalam,2,SMAN 33,IPA,31
Jakarta,2018,Dalam,2,SMAN 33,IPS,33
Jakarta,2018,Dalam,2,SMAN 33,BAHASA,11
