Nomor,Tahun,Daerah,No Pasangan,Jabatan,Nama,Jumlah Suara,Persentase Suara (%),wakil,,,
1,2018,Provinsi Bali,1,Wakil Gubernur,"Dr. Ir. Tjok Oka Artha Ardhana Sukawati, M.Si.",1211517,57.62,TRUE,0,100,
1,2018,Provinsi Bali,2,Wakil Gubernur,Drs. I Ketut Sudikerta,891062,42.38,TRUE,1,,100
2,2018,Provinsi Jawa Barat,1,Wakil Gubernur,"H. Uu Ruzhanul Ulum, Se",7236448,32.9,TRUE,0,45.57,
2,2018,Provinsi Jawa Barat,2,Wakil Gubernur,"Irjen. Pol (Purn.) Dr. Drs. H. Anton Charliyan, M.P.K.N.",2786052,12.67,TRUE,0,41.33,
2,2018,Provinsi Jawa Barat,3,Wakil Gubernur,H. Ahmad Syaikhu,6303255,28.66,TRUE,0,54.44,
2,2018,Provinsi Jawa Barat,4,Wakil Gubernur,"H. Dedi Mulyadi, Sh",5669513,25.78,TRUE,1,,54.44
3,2018,Provinsi Jawa Tengah,1,Wakil Gubernur,H. Taj Yasin,9903485,59.52,TRUE,0,100,
3,2018,Provinsi Jawa Tengah,2,Wakil Gubernur,Hj. Ida Fauziyah,6734913,40.48,TRUE,1,,100
4,2018,Provinsi Jawa Timur,1,Wakil Gubernur,"Dr. Emil Elestianto Dardak, M.Sc.",10327690,53.56,TRUE,0,100,
4,2018,Provinsi Jawa Timur,2,Wakil Gubernur,"Hj. Puti Guntur Soekarno, S.Ip",8955979,46.44,TRUE,1,,100
5,2018,Provinsi Kalimantan Barat,1,Wakil Gubernur,"H. Boyman Harun, S.H.",344006,13.01,TRUE,0,52.26,
5,2018,Provinsi Kalimantan Barat,2,Wakil Gubernur,"Suryadman Gidot, M.Pd.",1037424,39.25,TRUE,0,86.99,
5,2018,Provinsi Kalimantan Barat,3,Wakil Gubernur,"Drs. H. Ria Norsan, M.M., M.H.",1261758,47.74,TRUE,1,,86.99
6,2018,Provinsi Kalimantan Timur,1,Wakil Gubernur,"H.M. Rizal Effendi, Se",288665,21.65,TRUE,0,44.36,
6,2018,Provinsi Kalimantan Timur,2,Wakil Gubernur,"H. Awang Ferdian Hidayat, Se, Mm",302826,22.71,TRUE,0,54,
6,2018,Provinsi Kalimantan Timur,3,Wakil Gubernur,"H. Hadi Mulyadi, S.Si, M.Si",417139,31.29,TRUE,0,55.64,
6,2018,Provinsi Kalimantan Timur,4,Wakil Gubernur,Drs. H. Safaruddin,324617,24.35,TRUE,1,,55.64
