Provinsi,Kabupaten/Kota,Indikator,Jumlah
Aceh,Aceh Selatan,Jumlah TPS,391
Aceh,Kota Subulussalam,Jumlah TPS,170
Aceh,Pidie Jaya,Jumlah TPS,270
Bali,Badung,Jumlah TPS,579
Bali,Bangli,Jumlah TPS,467
Bali,Buleleng,Jumlah TPS,1088
Bali,Gianyar,Jumlah TPS,772
Bali,Jembrana,Jumlah TPS,499
Bali,Karangasem,Jumlah TPS,945
Bali,Klungkung,Jumlah TPS,350
Bali,Kota Denpasar,Jumlah TPS,816
Bali,Tabanan,Jumlah TPS,780
Banten,Kota Serang,Jumlah TPS,966
Banten,Kota Tangerang,Jumlah TPS,3091
Banten,Lebak,Jumlah TPS,1897
Banten,Tangerang,Jumlah TPS,4513
Bengkulu,Kota Bengkulu,Jumlah TPS,622
Gorontalo,Gorontalo Utara,Jumlah TPS,257
Gorontalo,Kota Gorontalo,Jumlah TPS,258
Jambi,Kerinci,Jumlah TPS,559
Jambi,Kota Jambi,Jumlah TPS,1103
Jambi,Merangin,Jumlah TPS,858
Jawa Barat,Bandung,Jumlah TPS,5448
Jawa Barat,Bandung Barat,Jumlah TPS,292
Jawa Barat,Bekasi,Jumlah TPS,3994
Jawa Barat,Bogor,Jumlah TPS,7635
Jawa Barat,Ciamis,Jumlah TPS,2263
Jawa Barat,Cianjur,Jumlah TPS,3921
Jawa Barat,Cirebon,Jumlah TPS,365
Jawa Barat,Garut,Jumlah TPS,4719
Jawa Barat,Indramayu,Jumlah TPS,2841
Jawa Barat,Karawang,Jumlah TPS,3022
Jawa Barat,Kota Bandung,Jumlah TPS,4419
Jawa Barat,Kota Banjar,Jumlah TPS,332
Jawa Barat,Kota Bekasi,Jumlah TPS,303
Jawa Barat,Kota Bogor,Jumlah TPS,1785
Jawa Barat,Kota Cimahi,Jumlah TPS,983
Jawa Barat,Kota Cirebon,Jumlah TPS,579
Jawa Barat,Kota Depok,Jumlah TPS,3302
Jawa Barat,Kota Sukabumi,Jumlah TPS,527
Jawa Barat,Kota Tasikmalaya,Jumlah TPS,1161
Jawa Barat,Kuningan,Jumlah TPS,2005
Jawa Barat,Majalengka,Jumlah TPS,2192
Jawa Barat,Pangandaran,Jumlah TPS,717
Jawa Barat,Purwakarta,Jumlah TPS,1492
Jawa Barat,Subang,Jumlah TPS,2852
Jawa Barat,Sukabumi,Jumlah TPS,4118
Jawa Barat,Sumedang,Jumlah TPS,2026
Jawa Barat,Tasikmalaya,Jumlah TPS,3021
Jawa Tengah,Banjarnegara,Jumlah TPS,1894
Jawa Tengah,Banyumas,Jumlah TPS,318
Jawa Tengah,Batang,Jumlah TPS,1457
Jawa Tengah,Blora,Jumlah TPS,1735
Jawa Tengah,Boyolali,Jumlah TPS,1645
Jawa Tengah,Brebes,Jumlah TPS,3087
Jawa Tengah,Cilacap,Jumlah TPS,3235
Jawa Tengah,Demak,Jumlah TPS,1876
Jawa Tengah,Grobogan,Jumlah TPS,2363
Jawa Tengah,Jepara,Jumlah TPS,1843
Jawa Tengah,Karanganyar,Jumlah TPS,1721
Jawa Tengah,Kebumen,Jumlah TPS,2529
Jawa Tengah,Kendal,Jumlah TPS,1795
Jawa Tengah,Klaten,Jumlah TPS,2243
Jawa Tengah,Kota Magelang,Jumlah TPS,220
Jawa Tengah,Kota Pekalongan,Jumlah TPS,552
Jawa Tengah,Kota Salatiga,Jumlah TPS,391
Jawa Tengah,Kota Semarang,Jumlah TPS,281
Jawa Tengah,Kota Surakarta,Jumlah TPS,1016
Jawa Tengah,Kota Tegal,Jumlah TPS,420
Jawa Tengah,Kudus,Jumlah TPS,1491
Jawa Tengah,Magelang,Jumlah TPS,2629
Jawa Tengah,Pati,Jumlah TPS,2337
Jawa Tengah,Pekalongan,Jumlah TPS,148
Jawa Tengah,Pemalang,Jumlah TPS,2416
Jawa Tengah,Purbalingga,Jumlah TPS,1655
Jawa Tengah,Purworejo,Jumlah TPS,1729
Jawa Tengah,Rembang,Jumlah TPS,13
Jawa Tengah,Semarang,Jumlah TPS,1769
Jawa Tengah,Sragen,Jumlah TPS,1674
Jawa Tengah,Sukoharjo,Jumlah TPS,1353
Jawa Tengah,Tegal,Jumlah TPS,2577
Jawa Tengah,Temanggung,Jumlah TPS,1801
Jawa Tengah,Wonogiri,Jumlah TPS,2033
Jawa Tengah,Wonosobo,Jumlah TPS,1717
Jawa Timur,Bangkalan,Jumlah TPS,1984
Jawa Timur,Banyuwangi,Jumlah TPS,283
Jawa Timur,Blitar,Jumlah TPS,2078
Jawa Timur,Bojonegoro,Jumlah TPS,2408
Jawa Timur,Bondowoso,Jumlah TPS,15
Jawa Timur,Gresik,Jumlah TPS,221
Jawa Timur,Jember,Jumlah TPS,4427
Jawa Timur,Jombang,Jumlah TPS,2147
Jawa Timur,Kediri,Jumlah TPS,2589
Jawa Timur,Kota Batu,Jumlah TPS,411
Jawa Timur,Kota Blitar,Jumlah TPS,249
Jawa Timur,Kota Kediri,Jumlah TPS,485
Jawa Timur,Kota Madiun,Jumlah TPS,310
Jawa Timur,Kota Malang,Jumlah TPS,14
Jawa Timur,Kota Mojokerto,Jumlah TPS,219
Jawa Timur,Kota Pasuruan,Jumlah TPS,310
Jawa Timur,Kota Probolinggo,Jumlah TPS,379
Jawa Timur,Kota Surabaya,Jumlah TPS,4284
Jawa Timur,Lamongan,Jumlah TPS,2347
Jawa Timur,Lumajang,Jumlah TPS,1872
Jawa Timur,Madiun,Jumlah TPS,1014
Jawa Timur,Magetan,Jumlah TPS,1296
Jawa Timur,Malang,Jumlah TPS,4178
Jawa Timur,Mojokerto,Jumlah TPS,1719
Jawa Timur,Nganjuk,Jumlah TPS,2079
Jawa Timur,Ngawi,Jumlah TPS,1551
Jawa Timur,Pacitan,Jumlah TPS,993
Jawa Timur,Pamekasan,Jumlah TPS,1583
Jawa Timur,Pasuruan,Jumlah TPS,238
Jawa Timur,Ponorogo,Jumlah TPS,1731
Jawa Timur,Probolinggo,Jumlah TPS,17
Jawa Timur,Sampang,Jumlah TPS,145
Jawa Timur,Sidoarjo,Jumlah TPS,2887
Jawa Timur,Situbondo,Jumlah TPS,1183
Jawa Timur,Sumenep,Jumlah TPS,24
Jawa Timur,Trenggalek,Jumlah TPS,121
Jawa Timur,Tuban,Jumlah TPS,2006
Jawa Timur,Tulungagung,Jumlah TPS,184
Kalimantan Barat,Bengkayang,Jumlah TPS,620
Kalimantan Barat,Kapuas Hulu,Jumlah TPS,785
Kalimantan Barat,Kayong Utara,Jumlah TPS,246
Kalimantan Barat,Ketapang,Jumlah TPS,1104
Kalimantan Barat,Kota Pontianak,Jumlah TPS,1274
Kalimantan Barat,Kota Singkawang,Jumlah TPS,405
Kalimantan Barat,Kubu Raya,Jumlah TPS,123
Kalimantan Barat,Landak,Jumlah TPS,1006
Kalimantan Barat,Melawi,Jumlah TPS,519
Kalimantan Barat,Mempawah,Jumlah TPS,600
Kalimantan Barat,Sambas,Jumlah TPS,1115
Kalimantan Barat,Sanggau,Jumlah TPS,1202
Kalimantan Barat,Sekadau,Jumlah TPS,469
Kalimantan Barat,Sintang,Jumlah TPS,1033
Kalimantan Selatan,Hulu Sungai Selatan,Jumlah TPS,550
Kalimantan Selatan,Tabalong,Jumlah TPS,604
Kalimantan Selatan,Tanah Laut,Jumlah TPS,657
Kalimantan Selatan,Tapin,Jumlah TPS,446
Kalimantan Tengah,Barito Timur,Jumlah TPS,250
Kalimantan Tengah,Barito Utara,Jumlah TPS,351
Kalimantan Tengah,Gunung Mas,Jumlah TPS,262
Kalimantan Tengah,Kapuas,Jumlah TPS,956
Kalimantan Tengah,Katingan,Jumlah TPS,362
Kalimantan Tengah,Kota Palangkaraya,Jumlah TPS,592
Kalimantan Tengah,Lamandau,Jumlah TPS,156
Kalimantan Tengah,Murung Raya,Jumlah TPS,201
Kalimantan Tengah,Pulang Pisau,Jumlah TPS,325
Kalimantan Tengah,Seruyan,Jumlah TPS,351
Kalimantan Tengah,Sukamara,Jumlah TPS,115
Kalimantan Timur,Berau,Jumlah TPS,473
Kalimantan Timur,Kota Balikpapan,Jumlah TPS,1363
Kalimantan Timur,Kota Bontang,Jumlah TPS,260
Kalimantan Timur,Kota Samarinda,Jumlah TPS,1582
Kalimantan Timur,Kutai Barat,Jumlah TPS,362
Kalimantan Timur,Kutai Kartanegara,Jumlah TPS,1562
Kalimantan Timur,Kutai Timur,Jumlah TPS,685
Kalimantan Timur,Mahakam Ulu,Jumlah TPS,71
Kalimantan Timur,Paser,Jumlah TPS,574
Kalimantan Timur,Penajam Paser Utara,Jumlah TPS,340
Kalimantan Utara,Kota Tarakan,Jumlah TPS,300
Kepulauan Bangka Belitung,Bangka,Jumlah TPS,584
Kepulauan Bangka Belitung,Belitung,Jumlah TPS,351
Kepulauan Bangka Belitung,Kota Pangkalpinang,Jumlah TPS,382
Kepulauan Riau,Kota Tanjungpinang,Jumlah TPS,317
Lampung,Kota Bandar Lampung,Jumlah TPS,1313
Lampung,Kota Metro,Jumlah TPS,238
Lampung,Lampung Barat,Jumlah TPS,538
Lampung,Lampung Selatan,Jumlah TPS,1737
Lampung,Lampung Tengah,Jumlah TPS,2411
Lampung,Lampung Timur,Jumlah TPS,1639
Lampung,Lampung Utara,Jumlah TPS,1137
Lampung,Mesuji,Jumlah TPS,287
Lampung,Pesawaran,Jumlah TPS,925
Lampung,Pesisir Barat,Jumlah TPS,282
Lampung,Pringsewu,Jumlah TPS,821
Lampung,Tanggamus,Jumlah TPS,1581
Lampung,Tulang Bawang,Jumlah TPS,758
Lampung,Tulang Bawang Barat,Jumlah TPS,553
Lampung,Way Kanan,Jumlah TPS,780
Maluku,Buru,Jumlah TPS,261
Maluku,Buru Selatan,Jumlah TPS,155
Maluku,Kepulauan Aru,Jumlah TPS,233
Maluku,Kota Ambon,Jumlah TPS,680
Maluku,Kota Tual,Jumlah TPS,130
Maluku,Maluku Barat Daya,Jumlah TPS,171
Maluku,Maluku Tengah,Jumlah TPS,632
Maluku,Maluku Tenggara,Jumlah TPS,243
Maluku,Maluku Tenggara Barat,Jumlah TPS,186
Maluku,Seram Bagian Barat,Jumlah TPS,398
Maluku,Seram Bagian Timur,Jumlah TPS,269
Maluku Utara,Halmahera Barat,Jumlah TPS,270
Maluku Utara,Halmahera Selatan,Jumlah TPS,374
Maluku Utara,Halmahera Tengah,Jumlah TPS,74
Maluku Utara,Halmahera Timur,Jumlah TPS,177
Maluku Utara,Halmahera Utara,Jumlah TPS,303
Maluku Utara,Kepulauan Sula,Jumlah TPS,185
Maluku Utara,Kota Ternate,Jumlah TPS,314
Maluku Utara,Kota Tidore Kepulauan,Jumlah TPS,209
Maluku Utara,Pulau Morotai,Jumlah TPS,108
Maluku Utara,Pulau Taliabu,Jumlah TPS,124
Nusa Tenggara Barat,Bima,Jumlah TPS,693
Nusa Tenggara Barat,Dompu,Jumlah TPS,458
Nusa Tenggara Barat,Kota Bima,Jumlah TPS,249
Nusa Tenggara Barat,Kota Mataram,Jumlah TPS,667
Nusa Tenggara Barat,Lombok Barat,Jumlah TPS,118
Nusa Tenggara Barat,Lombok Tengah,Jumlah TPS,15
Nusa Tenggara Barat,Lombok Timur,Jumlah TPS,2017
Nusa Tenggara Barat,Lombok Utara,Jumlah TPS,518
Nusa Tenggara Barat,Sumbawa,Jumlah TPS,861
Nusa Tenggara Barat,Sumbawa Barat,Jumlah TPS,193
Nusa Tenggara Timur,Alor,Jumlah TPS,500
Nusa Tenggara Timur,Belu,Jumlah TPS,358
Nusa Tenggara Timur,Ende,Jumlah TPS,675
Nusa Tenggara Timur,Flores Timur,Jumlah TPS,439
Nusa Tenggara Timur,Kota Kupang,Jumlah TPS,660
Nusa Tenggara Timur,Kupang,Jumlah TPS,585
Nusa Tenggara Timur,Lembata,Jumlah TPS,226
Nusa Tenggara Timur,Malaka,Jumlah TPS,322
Nusa Tenggara Timur,Manggarai,Jumlah TPS,600
Nusa Tenggara Timur,Manggarai Barat,Jumlah TPS,493
Nusa Tenggara Timur,Manggarai Timur,Jumlah TPS,510
Nusa Tenggara Timur,Nagekeo,Jumlah TPS,270
Nusa Tenggara Timur,Ngada,Jumlah TPS,288
Nusa Tenggara Timur,Rote Ndao,Jumlah TPS,260
Nusa Tenggara Timur,Sabu Raijua,Jumlah TPS,150
Nusa Tenggara Timur,Sikka,Jumlah TPS,555
Nusa Tenggara Timur,Sumba Barat,Jumlah TPS,226
Nusa Tenggara Timur,Sumba Barat Daya,Jumlah TPS,563
Nusa Tenggara Timur,Sumba Tengah,Jumlah TPS,200
Nusa Tenggara Timur,Sumba Timur,Jumlah TPS,441
Nusa Tenggara Timur,Timor Tengah Selatan,Jumlah TPS,921
Nusa Tenggara Timur,Timor Tengah Utara,Jumlah TPS,430
Papua,Asmat,Jumlah TPS,276
Papua,Biak Numfor,Jumlah TPS,360
Papua,Boven Digoel,Jumlah TPS,213
Papua,Deiyai,Jumlah TPS,120
Papua,Dogiyai,Jumlah TPS,292
Papua,Intan Jaya,Jumlah TPS,186
Papua,Jayapura,Jumlah TPS,348
Papua,Jayawijaya,Jumlah TPS,551
Papua,Keerom,Jumlah TPS,150
Papua,Kepulauan Yapen,Jumlah TPS,264
Papua,Kota Jayapura,Jumlah TPS,629
Papua,Lanny Jaya,Jumlah TPS,410
Papua,Mamberamo Raya,Jumlah TPS,103
Papua,Mamberamo Tengah,Jumlah TPS,84
Papua,Mappi,Jumlah TPS,235
Papua,Merauke,Jumlah TPS,465
Papua,Mimika,Jumlah TPS,650
Papua,Nabire,Jumlah TPS,334
Papua,Nduga,Jumlah TPS,421
Papua,Paniai,Jumlah TPS,267
Papua,Pegunungan Bintang,Jumlah TPS,342
Papua,Puncak,Jumlah TPS,335
Papua,Puncak Jaya,Jumlah TPS,409
Papua,Sarmi,Jumlah TPS,58
Papua,Supiori,Jumlah TPS,45
Papua,Tolikara,Jumlah TPS,582
Papua,Waropen,Jumlah TPS,118
Papua,Yahukimo,Jumlah TPS,631
Papua,Yalimo,Jumlah TPS,302
Riau,Bengkalis,Jumlah TPS,1178
Riau,Indragiri Hilir,Jumlah TPS,1572
Riau,Indragiri Hulu,Jumlah TPS,846
Riau,Kampar,Jumlah TPS,1318
Riau,Kepulauan Meranti,Jumlah TPS,424
Riau,Kota Dumai,Jumlah TPS,515
Riau,Kota Pekanbaru,Jumlah TPS,1798
Riau,Kuantan Singingi,Jumlah TPS,666
Riau,Pelalawan,Jumlah TPS,689
Riau,Rokan Hilir,Jumlah TPS,1322
Riau,Rokan Hulu,Jumlah TPS,963
Riau,Siak,Jumlah TPS,750
Sulawesi Barat,Mamasa,Jumlah TPS,488
Sulawesi Barat,Polewali Mandar,Jumlah TPS,795
Sulawesi Selatan,Bantaeng,Jumlah TPS,357
Sulawesi Selatan,Barru,Jumlah TPS,423
Sulawesi Selatan,Bone,Jumlah TPS,1523
Sulawesi Selatan,Bulukumba,Jumlah TPS,761
Sulawesi Selatan,Enrekang,Jumlah TPS,490
Sulawesi Selatan,Gowa,Jumlah TPS,117
Sulawesi Selatan,Jeneponto,Jumlah TPS,636
Sulawesi Selatan,Kepulauan Selayar,Jumlah TPS,304
Sulawesi Selatan,Kota Makassar,Jumlah TPS,267
Sulawesi Selatan,Kota Palopo,Jumlah TPS,364
Sulawesi Selatan,Kota Pare Pare,Jumlah TPS,291
Sulawesi Selatan,Luwu,Jumlah TPS,925
Sulawesi Selatan,Luwu Timur,Jumlah TPS,438
Sulawesi Selatan,Luwu Utara,Jumlah TPS,624
Sulawesi Selatan,Maros,Jumlah TPS,680
Sulawesi Selatan,Pangkajene Dan Kepulauan,Jumlah TPS,649
Sulawesi Selatan,Pinrang,Jumlah TPS,723
Sulawesi Selatan,Sidenreng Rappang,Jumlah TPS,650
Sulawesi Selatan,Sinjai,Jumlah TPS,540
Sulawesi Selatan,Soppeng,Jumlah TPS,513
Sulawesi Selatan,Takalar,Jumlah TPS,351
Sulawesi Selatan,Tana Toraja,Jumlah TPS,566
Sulawesi Selatan,Toraja Utara,Jumlah TPS,581
Sulawesi Selatan,Wajo,Jumlah TPS,902
Sulawesi Tengah,Donggala,Jumlah TPS,609
Sulawesi Tengah,Morowali,Jumlah TPS,252
Sulawesi Tengah,Parigi Moutong,Jumlah TPS,855
Sulawesi Tenggara,Bombana,Jumlah TPS,326
Sulawesi Tenggara,Buton,Jumlah TPS,223
Sulawesi Tenggara,Buton Selatan,Jumlah TPS,161
Sulawesi Tenggara,Buton Tengah,Jumlah TPS,204
Sulawesi Tenggara,Buton Utara,Jumlah TPS,146
Sulawesi Tenggara,Kolaka,Jumlah TPS,525
Sulawesi Tenggara,Kolaka Timur,Jumlah TPS,263
Sulawesi Tenggara,Kolaka Utara,Jumlah TPS,340
Sulawesi Tenggara,Konawe,Jumlah TPS,437
Sulawesi Tenggara,Konawe Kepulauan,Jumlah TPS,99
Sulawesi Tenggara,Konawe Selatan,Jumlah TPS,493
Sulawesi Tenggara,Konawe Utara,Jumlah TPS,192
Sulawesi Tenggara,Kota Bau Bau,Jumlah TPS,254
Sulawesi Tenggara,Kota Kendari,Jumlah TPS,532
Sulawesi Tenggara,Muna,Jumlah TPS,321
Sulawesi Tenggara,Muna Barat,Jumlah TPS,119
Sulawesi Tenggara,Wakatobi,Jumlah TPS,274
Sulawesi Utara,Bolaang Mongondow Utara,Jumlah TPS,120
Sulawesi Utara,Kep. Siau Tagulandang Biaro,Jumlah TPS,183
Sulawesi Utara,Kepulauan Talaud,Jumlah TPS,201
Sulawesi Utara,Kota Kotamobagu,Jumlah TPS,242
Sulawesi Utara,Minahasa,Jumlah TPS,578
Sulawesi Utara,Minahasa Tenggara,Jumlah TPS,204
Sumatera Barat,Kota Padang,Jumlah TPS,16
Sumatera Barat,Kota Padang Panjang,Jumlah TPS,97
Sumatera Barat,Kota Pariaman,Jumlah TPS,155
Sumatera Barat,Kota Sawahlunto,Jumlah TPS,130
Sumatera Selatan,Banyuasin,Jumlah TPS,1815
Sumatera Selatan,Empat Lawang,Jumlah TPS,545
Sumatera Selatan,Kota Lubuklinggau,Jumlah TPS,376
Sumatera Selatan,Kota Pagar Alam,Jumlah TPS,428
Sumatera Selatan,Kota Palembang,Jumlah TPS,2804
Sumatera Selatan,Kota Prabumulih,Jumlah TPS,445
Sumatera Selatan,Lahat,Jumlah TPS,753
Sumatera Selatan,Muara Enim,Jumlah TPS,1052
Sumatera Selatan,Musi Banyuasin,Jumlah TPS,1464
Sumatera Selatan,Musi Rawas,Jumlah TPS,840
Sumatera Selatan,Musi Rawas Utara,Jumlah TPS,398
Sumatera Selatan,Ogan Ilir,Jumlah TPS,817
Sumatera Selatan,Ogan Komering Ilir,Jumlah TPS,1818
Sumatera Selatan,Ogan Komering Ulu,Jumlah TPS,714
Sumatera Selatan,Ogan Komering Ulu Selatan,Jumlah TPS,790
Sumatera Selatan,Ogan Komering Ulu Timur,Jumlah TPS,1528
Sumatera Selatan,Penukal Abab Lematang Ilir,Jumlah TPS,311
Sumatera Utara,Asahan,Jumlah TPS,1881
Sumatera Utara,Batu Bara,Jumlah TPS,105
Sumatera Utara,Dairi,Jumlah TPS,680
Sumatera Utara,Deli Serdang,Jumlah TPS,3379
Sumatera Utara,Humbang Hasundutan,Jumlah TPS,375
Sumatera Utara,Karo,Jumlah TPS,651
Sumatera Utara,Kota Binjai,Jumlah TPS,397
Sumatera Utara,Kota Gunungsitoli,Jumlah TPS,259
Sumatera Utara,Kota Medan,Jumlah TPS,3024
Sumatera Utara,Kota Padang Sidimpuan,Jumlah TPS,524
Sumatera Utara,Kota Pematangsiantar,Jumlah TPS,535
Sumatera Utara,Kota Sibolga,Jumlah TPS,184
Sumatera Utara,Kota Tanjung Balai,Jumlah TPS,355
Sumatera Utara,Kota Tebing Tinggi,Jumlah TPS,407
Sumatera Utara,Labuhanbatu,Jumlah TPS,1001
Sumatera Utara,Labuhanbatu Selatan,Jumlah TPS,666
Sumatera Utara,Labuhanbatu Utara,Jumlah TPS,816
Sumatera Utara,Langkat,Jumlah TPS,1862
Sumatera Utara,Mandailing Natal,Jumlah TPS,902
Sumatera Utara,Nias,Jumlah TPS,338
Sumatera Utara,Nias Barat,Jumlah TPS,209
Sumatera Utara,Nias Selatan,Jumlah TPS,740
Sumatera Utara,Nias Utara,Jumlah TPS,276
Sumatera Utara,Padang Lawas,Jumlah TPS,449
Sumatera Utara,Padang Lawas Utara,Jumlah TPS,618
Sumatera Utara,Pakpak Bharat,Jumlah TPS,109
Sumatera Utara,Samosir,Jumlah TPS,322
Sumatera Utara,Serdang Bedagai,Jumlah TPS,1443
Sumatera Utara,Simalungun,Jumlah TPS,1685
Sumatera Utara,Tapanuli Selatan,Jumlah TPS,691
