Tahun,Daerah,No Pasangan,Jabatan,Nama
2018,Kabupaten Tanggamus,1,Bupati,"Hj. Dewi Handajani, Se, Mm"
2018,Kabupaten Tanggamus,1,Wakil Bupati,"Hi. Am. Syafi?I, S.Ag"
2018,Kabupaten Tanggamus,2,Bupati,"Hi. Samsul Hadi, M.Pd.I"
2018,Kabupaten Tanggamus,2,Wakil Bupati,"Hi. Nuzul Irsan, Se"
2018,Kota Tual,1,Walikota,"Drs. Yunus Serang, M.Si"
2018,Kota Tual,1,Wakil Walikota,"Eva Fransina Balubun, S.Pt"
2018,Kota Tual,2,Walikota,"Adam Rahayaan, S.Ag, M.Si"
2018,Kota Tual,2,Wakil Walikota,Usman Tamnge
2018,Kota Tual,3,Walikota,"Drs. Basri Adlly Bandjar, M.Si"
2018,Kota Tual,3,Wakil Walikota,"Fadillah Rahawarin, S.Pi"
2018,Kabupaten Maluku Tenggara,1,Bupati,"Drs. Angelus Renjaan, M.Pd, Mh"
2018,Kabupaten Maluku Tenggara,1,Wakil Bupati,Hamza Rahayaan
2018,Kabupaten Maluku Tenggara,2,Bupati,"Esebius Utha Safsafubun, S.Ip"
2018,Kabupaten Maluku Tenggara,2,Wakil Bupati,"Abdurrahman Matdoan, S.Pd.I"
2018,Kabupaten Maluku Tenggara,3,Bupati,Muhamad Thaher Hanubun
2018,Kabupaten Maluku Tenggara,3,Wakil Bupati,"Ir. Petrus Beruatwarin, M.Si"
2018,Kota Bima,1,Walikota,"H. A. Rahman, Se"
2018,Kota Bima,1,Wakil Walikota,"Hj. Ferra Amelia, Se.,Mm"
2018,Kota Bima,2,Walikota,"H. Muhammad Lutfi, Se"
2018,Kota Bima,2,Wakil Walikota,"Feri Sofiyan, Sh"
2018,Kota Bima,3,Walikota,"Subhan, Sh"
2018,Kota Bima,3,Wakil Walikota,Wahyudin
2018,Kabupaten Lombok Barat,1,Bupati,"H. M. Izzul Islam, S.Mn"
2018,Kabupaten Lombok Barat,1,Wakil Bupati,"Tgh. Khudari Ibrahim, Lc., Mh"
2018,Kabupaten Lombok Barat,2,Bupati,"Nauvar Furqony Farinduan, Sh., Mba"
2018,Kabupaten Lombok Barat,2,Wakil Bupati,"Tgh. Muammar Arafat, Sh., Mh"
2018,Kabupaten Lombok Barat,3,Bupati,"H. Fauzan Khalid, S.Ag., M.Si"
2018,Kabupaten Lombok Barat,3,Wakil Bupati,Hj. Sumiatun
2018,Kabupaten Lombok Timur,1,Bupati,Drs. H. Haerul Warisin
2018,Kabupaten Lombok Timur,1,Wakil Bupati,"H. Machsun Ridwainny.,S.Sos.,M.B.A"
2018,Kabupaten Lombok Timur,2,Bupati,"Ali Masadi, S.H., M.Kn"
2018,Kabupaten Lombok Timur,2,Wakil Bupati,"Putrawan Habibi, S.P.,M.P."
2018,Kabupaten Lombok Timur,3,Bupati,"Drs. H. Mohammad Sukiman Azmy, Mm."
2018,Kabupaten Lombok Timur,3,Wakil Bupati,"Rumaksi Sj., S.H."
2018,Kabupaten Lombok Timur,4,Bupati,H.M.Syamsul Luthfi
2018,Kabupaten Lombok Timur,4,Wakil Bupati,H. Najamuddin Moestafa
2018,Kabupaten Alor,1,Bupati,"Dr. Imanuel Ekadianus Blegur, M.Si"
2018,Kabupaten Alor,1,Wakil Bupati,"H. Taufik Nampira, Sp. Mm"
2018,Kabupaten Alor,2,Bupati,Drs. Amon Djobo
2018,Kabupaten Alor,2,Wakil Bupati,"Imran Duru, S.Pd"
2018,Kabupaten Ende,1,Bupati,"Drs. Don Bosco M. Wangge,M.Si"
2018,Kabupaten Ende,1,Wakil Bupati,"H.Munawar.A Achmad,S.Sos"
2018,Kabupaten Ende,2,Bupati,Ir. Marselinus Y.W. Petu
2018,Kabupaten Ende,2,Wakil Bupati,"Drs. H. Djafar Achmad, Mm"
2018,Kabupaten Kupang,1,Bupati,"Drs. Hendrik Paut, M.Pd"
2018,Kabupaten Kupang,1,Wakil Bupati,"Aljery Esau Monas, S.Tp"
2018,Kabupaten Kupang,2,Bupati,Drs. Korinus Masneno
2018,Kabupaten Kupang,2,Wakil Bupati,"Jerry Manafe, Sh, M.Th"
2018,Kabupaten Kupang,3,Bupati,"Nelson O. Matara, S.Ip., M.Hum"
2018,Kabupaten Kupang,3,Wakil Bupati,Bernard Paulus Thomas Wellem Bait
2018,Kabupaten Kupang,4,Bupati,"Melianus Akulas, St"
2018,Kabupaten Kupang,4,Wakil Bupati,"Joao Antonio De Jesus Costa, Sh"
2018,Kabupaten Kupang,5,Bupati,"Drs. Selfester M. Banfatin, M.Si"
2018,Kabupaten Kupang,5,Wakil Bupati,"Johannis Silvester Ottemoesoe, Se"
2018,Kabupaten Manggarai Timur,1,Bupati,"Agas Andreas, Sh, M.Hum"
2018,Kabupaten Manggarai Timur,1,Wakil Bupati,Drs. Jaghur Stefanus
2018,Kabupaten Manggarai Timur,2,Bupati,Drs. Marselis S
2018,Kabupaten Manggarai Timur,2,Wakil Bupati,Sirajudin Paskalis
2018,Kabupaten Manggarai Timur,3,Bupati,Tarsisius Sjukur
2018,Kabupaten Manggarai Timur,3,Wakil Bupati,"Yoseph Byron Aur, S.Sos"
2018,Kabupaten Manggarai Timur,4,Bupati,"Bonefasius Uha, Sh"
2018,Kabupaten Manggarai Timur,4,Wakil Bupati,Fransiskus Anggal
2018,Kabupaten Manggarai Timur,5,Bupati,Fransiskus Sarong
2018,Kabupaten Manggarai Timur,5,Wakil Bupati,"Kasmir Don, Sh"
2018,Kabupaten Nagekeo,1,Bupati,"Paskalis Mb Ledo Bude, Se, Mm"
2018,Kabupaten Nagekeo,1,Wakil Bupati,"Oskarianus Meta, Ss"
2018,Kabupaten Nagekeo,2,Bupati,"Dr. Johanes Don Bosco Do, M. Kes"
2018,Kabupaten Nagekeo,2,Wakil Bupati,"Marianus Waja, Sh"
2018,Kabupaten Nagekeo,3,Bupati,Drs. Elias Djo
2018,Kabupaten Nagekeo,3,Wakil Bupati,Servasius Phodi
2018,Kabupaten Nagekeo,4,Bupati,"Gaspar Batubata, Sh"
2018,Kabupaten Nagekeo,4,Wakil Bupati,Ndait Adrianus
2018,Kabupaten Nagekeo,5,Bupati,Paulinus Yohanes Nuwa Veto
2018,Kabupaten Nagekeo,5,Wakil Bupati,Marselinus F. Ajo Bupu
2018,Kabupaten Rote Ndao,1,Bupati,"Jonas Cornelius Lun, S.Pd"
2018,Kabupaten Rote Ndao,1,Wakil Bupati,"Dr. Adolfina Elisabeth Koamesakh, M.Th.,M.Hum"
2018,Kabupaten Rote Ndao,2,Bupati,"Drs. Mesakh Nitanel Nunuhitu, M.Si"
2018,Kabupaten Rote Ndao,2,Wakil Bupati,Drs. Samuel Conny Penna
2018,Kabupaten Rote Ndao,3,Bupati,"Paulina Haning - Bullu, Se"
2018,Kabupaten Rote Ndao,3,Wakil Bupati,"Stefanus M. Saek, Se, M.Si"
2018,Kabupaten Rote Ndao,4,Bupati,"Bima Theodorianus Fanggidae, Mba"
2018,Kabupaten Rote Ndao,4,Wakil Bupati,"Drs. Erenst Salmun Zadrak Pella, M.Si"
2018,Kabupaten Sikka,1,Bupati,Drs. Alexander Longginus
2018,Kabupaten Sikka,1,Wakil Bupati,"Fransiskus Stephanus Say, Se"
2018,Kabupaten Sikka,2,Bupati,"Fransiskus Roberto Diogo, S.Sos, Msi."
2018,Kabupaten Sikka,2,Wakil Bupati,Romanus Woga
2018,Kabupaten Sikka,3,Bupati,Drs. Yoseph Ansar Rera
2018,Kabupaten Sikka,3,Wakil Bupati,"Rafael Raga, Sp"
2018,Kabupaten Sumba Barat Daya,1,Bupati,"Markus Dairo Talu, Sh"
2018,Kabupaten Sumba Barat Daya,1,Wakil Bupati,"Gerson Tanggu Dendo, Sh"
2018,Kabupaten Sumba Barat Daya,2,Bupati,"Dominggus Dama, Sst, Mt"
2018,Kabupaten Sumba Barat Daya,2,Wakil Bupati,"Kornelis Tanggu Bore, Sh"
2018,Kabupaten Sumba Barat Daya,3,Bupati,Dr. Kornelius Kodi Mete
2018,Kabupaten Sumba Barat Daya,3,Wakil Bupati,"Marthen Christian Taka, S.Ip"
2018,Kabupaten Sumba Tengah,1,Bupati,"Umbu Besi,S.Sos"
2018,Kabupaten Sumba Tengah,1,Wakil Bupati,"Umbu Windi, S.Ipem"
2018,Kabupaten Sumba Tengah,2,Bupati,Drs. Paulus S. K. Limu
2018,Kabupaten Sumba Tengah,2,Wakil Bupati,Ir. Daniel Landa
2018,Kabupaten Sumba Tengah,3,Bupati,"Umbu Dondu, Bba"
2018,Kabupaten Sumba Tengah,3,Wakil Bupati,"Samuel Saki Pekulimu,S.Sos"
2018,Kabupaten Sumba Tengah,4,Bupati,"Umbu S. Samapaty, Sh, Mh"
2018,Kabupaten Sumba Tengah,4,Wakil Bupati,"Marthinus Umbu Djoka, S.Hut, M.Si"
2018,Kabupaten Sumba Tengah,5,Bupati,Dr. Umbu M. Marisi
2018,Kabupaten Sumba Tengah,5,Wakil Bupati,Drs. Tagela Ibi Sola
2018,Kabupaten Timor Tengah Selatan,1,Bupati,"Ampera Seke Selan, Sh"
2018,Kabupaten Timor Tengah Selatan,1,Wakil Bupati,Ir. Yaan Mazrich Jermias Tanaem
2018,Kabupaten Timor Tengah Selatan,2,Bupati,"Drs. Obed Naitboho, M.Si"
2018,Kabupaten Timor Tengah Selatan,2,Wakil Bupati,"Alexander Kase, S.Pd.K"
2018,Kabupaten Timor Tengah Selatan,3,Bupati,"Egusem Piether Tahun, St, Mm"
2018,Kabupaten Timor Tengah Selatan,3,Wakil Bupati,"Johny Army Konay, Sh"
2018,Kabupaten Timor Tengah Selatan,4,Bupati,"Drs. Johanis Lakapu, M.Si"
2018,Kabupaten Timor Tengah Selatan,4,Wakil Bupati,"Yefta Ambrosius Lodowijk Mella, A.Md"
2018,Kabupaten Biak Numfor,1,Bupati,"Andreas Msen, Se. Mm"
2018,Kabupaten Biak Numfor,1,Wakil Bupati,"Justinus Wihelmus Noriwari, S.Th"
2018,Kabupaten Biak Numfor,2,Bupati,"Herry Ario Naap, S.Si.,M.Pd."
2018,Kabupaten Biak Numfor,2,Wakil Bupati,"Nehemia Wospakrik, Se.,Mm.,B.Sc."
2018,Kabupaten Biak Numfor,3,Bupati,Nichodemus Ronsumbre
2018,Kabupaten Biak Numfor,3,Wakil Bupati,Ir. Akmal Bachri Hi Kalabe
2018,Kabupaten Deiyai,1,Bupati,Ateng Edowai S.Pd.K
2018,Kabupaten Deiyai,1,Wakil Bupati,Hengky Pigai S.Pt
2018,Kabupaten Deiyai,2,Bupati,Keni Ikomou
2018,Kabupaten Deiyai,2,Wakil Bupati,Abraham Tekege
2018,Kabupaten Deiyai,3,Bupati,"Dance Takimai, A.Ks"
2018,Kabupaten Deiyai,3,Wakil Bupati,"Robert Dawapa, S.Sos"
2018,Kabupaten Deiyai,4,Bupati,Inarius Douw
2018,Kabupaten Deiyai,4,Wakil Bupati,Anakletus Doo
2018,Kabupaten Jayawijaya,1,Bupati,"Jhon Richard Banua Se,M.Si."
2018,Kabupaten Jayawijaya,1,Wakil Bupati,"Marthin Yogobi Sh,M.Hum."
2018,Kabupaten Mamberamo Tengah,1,Bupati,"Ricky Ham Pagawak, Sh, M.Si"
2018,Kabupaten Mamberamo Tengah,1,Wakil Bupati,"Yonas Kenelak, S. Sos"
2018,Kabupaten Mimika,1,Bupati,Drs. Petrus Yanwarin
2018,Kabupaten Mimika,1,Wakil Bupati,Alpius Edowai
2018,Kabupaten Mimika,2,Bupati,"Robertus Waraopea, Sh"
2018,Kabupaten Mimika,2,Wakil Bupati,"Albert Bolang, Sh. Mh"
2018,Kabupaten Mimika,3,Bupati,Wilhelmus Pigai
2018,Kabupaten Mimika,3,Wakil Bupati,"Athanasius Allo Rafra,Sh. Msi"
2018,Kabupaten Mimika,4,Bupati,"Hans Magal, S.P"
2018,Kabupaten Mimika,4,Wakil Bupati,"Abd Muis, S.T. M.M"
2018,Kabupaten Mimika,5,Bupati,"Maria Florida Kotorok, Se., M.H.Kes"
2018,Kabupaten Mimika,5,Wakil Bupati,"Yustus Way, S.Sos"
2018,Kabupaten Mimika,6,Bupati,"Eltinus Omaleng, Se, Mh"
2018,Kabupaten Mimika,6,Wakil Bupati,"Johanes Rettob, S.Sos, M.M"
2018,Kabupaten Mimika,7,Bupati,"Philipus B. Wakerkwa Se, Msi"
2018,Kabupaten Mimika,7,Wakil Bupati,H.Basri
2018,Kabupaten Paniai,1,Bupati,"Dr. Hengki Kayame, Sh.,Mh"
2018,Kabupaten Paniai,1,Wakil Bupati,Drs. Yeheskiel Tenouye
2018,Kabupaten Paniai,2,Bupati,"Naftali Yogi, S.Sos"
2018,Kabupaten Paniai,2,Wakil Bupati,"Marten Mote, Se"
2018,Kabupaten Paniai,3,Bupati,Meki Nawipa
2018,Kabupaten Paniai,3,Wakil Bupati,"Oktopianus Gobai, S.Ip"
2018,Kabupaten Paniai,4,Bupati,"Yunus Gobai, S.Sos"
2018,Kabupaten Paniai,4,Wakil Bupati,"Markus Boma, S.Pd"
2018,Kabupaten Paniai,5,Bupati,"Yehuda Gobai, S.Th., M.Si"
2018,Kabupaten Paniai,5,Wakil Bupati,"Yan Tebai, S.Sos., M.Si"
2018,Kabupaten Puncak,1,Bupati,"Willem Wandik, Se. Msi"
2018,Kabupaten Puncak,1,Wakil Bupati,"Pelinus Balinal. S.Sos, Ag"
2018,Kabupaten Indragiri Hilir,1,Bupati,"H. Rosman Malomo, Sh, Mh"
2018,Kabupaten Indragiri Hilir,1,Wakil Bupati,"Musmulyadi, Ss"
2018,Kabupaten Indragiri Hilir,2,Bupati,"Dr. H.M. Ramli, Se, M.Si"
2018,Kabupaten Indragiri Hilir,2,Wakil Bupati,"Dr. H. Ali Azhar, S.Sos, Mh"
2018,Kabupaten Indragiri Hilir,3,Bupati,"Drs. H. Muhammad Wardan, Mp"
2018,Kabupaten Indragiri Hilir,3,Wakil Bupati,H. Syamsuddin Uti
2018,Kabupaten Mamasa,1,Bupati,"Drs. Ramlan Badawi, Mh"
2018,Kabupaten Mamasa,1,Wakil Bupati,Marthinus Tiranda
2018,Kabupaten Polewali Mandar,1,Bupati,Salim S. Mengga
2018,Kabupaten Polewali Mandar,1,Wakil Bupati,"Marwan, St"
2018,Kabupaten Polewali Mandar,2,Bupati,H. A. Ibrahim Masdar
2018,Kabupaten Polewali Mandar,2,Wakil Bupati,"Drs. H. M. Natsir Rahmat, Mm"
2018,Kabupaten Bantaeng,1,Bupati,Muh.Alwi
2018,Kabupaten Bantaeng,1,Wakil Bupati,Nurdin Halim
2018,Kabupaten Bantaeng,2,Bupati,"Dra. Hj. Andi Sugiarti Mangun Karim, M. Si"
2018,Kabupaten Bantaeng,2,Wakil Bupati,Andi Mappatoba
2018,Kabupaten Bantaeng,3,Bupati,"Dr. H. Ilham Syah Azikin, M. Si"
2018,Kabupaten Bantaeng,3,Wakil Bupati,Drs. H. Sahabuddin
2018,Kabupaten Bone,1,Bupati,"Dr. H. A. Fahsar Mahdin Padjalangi, M.Si."
2018,Kabupaten Bone,1,Wakil Bupati,"Drs. H. Ambo Dalle, Mm."
2018,Kabupaten Enrekang,1,Bupati,"Drs. H. Muslimin Bando, M.Pd"
2018,Kabupaten Enrekang,1,Wakil Bupati,"Asman, Se"
2018,Kabupaten Jeneponto,1,Bupati,"H. Mulyadi Mustamu, Sh"
2018,Kabupaten Jeneponto,1,Wakil Bupati,"Muhammad Kasmin, Ms, Se"
