Tahun,Daerah,No Pasangan,Jabatan,Nama
2018,Provinsi Bali,1,Gubernur,"Dr. Ir. Wayan Koster, M.M."
2018,Provinsi Bali,1,Wakil Gubernur,"Dr. Ir. Tjok Oka Artha Ardhana Sukawati, M.Si."
2018,Provinsi Bali,2,Gubernur,"Ida Bagus Rai Dharmawijaya Mantra, S.E., M.Si"
2018,Provinsi Bali,2,Wakil Gubernur,Drs. I Ketut Sudikerta
2018,Provinsi Jawa Barat,1,Gubernur,"H. Mochamad Ridwan Kamil, St., M.U.D"
2018,Provinsi Jawa Barat,1,Wakil Gubernur,"H. Uu Ruzhanul Ulum, Se"
2018,Provinsi Jawa Barat,2,Gubernur,"Mayjen Tni (Purn.) Dr. H. Hasanuddin, Se., Mm"
2018,Provinsi Jawa Barat,2,Wakil Gubernur,"Irjen. Pol (Purn.) Dr. Drs. H. Anton Charliyan, M.P.K.N."
2018,Provinsi Jawa Barat,3,Gubernur,"Mayjen Tni (Purn) H. Sudrajat, M.Pa"
2018,Provinsi Jawa Barat,3,Wakil Gubernur,H. Ahmad Syaikhu
2018,Provinsi Jawa Barat,4,Gubernur,"H. Deddy Mizwar, Se., S.Sn., M.I.Pol"
2018,Provinsi Jawa Barat,4,Wakil Gubernur,"H. Dedi Mulyadi, Sh"
2018,Provinsi Jawa Tengah,1,Gubernur,"H. Ganjar Pranowo, S.H, M.Ip"
2018,Provinsi Jawa Tengah,1,Wakil Gubernur,H. Taj Yasin
2018,Provinsi Jawa Tengah,2,Gubernur,H. Sudirman Said
2018,Provinsi Jawa Tengah,2,Wakil Gubernur,Hj. Ida Fauziyah
2018,Provinsi Jawa Timur,1,Gubernur,Khofifah Indar Parawansa
2018,Provinsi Jawa Timur,1,Wakil Gubernur,"Dr. Emil Elestianto Dardak, M.Sc."
2018,Provinsi Jawa Timur,2,Gubernur,Drs. H. Saifullah Yusuf
2018,Provinsi Jawa Timur,2,Wakil Gubernur,"Hj. Puti Guntur Soekarno, S.Ip"
2018,Provinsi Kalimantan Barat,1,Gubernur,"Drs. Milton Crosby, M.Si."
2018,Provinsi Kalimantan Barat,1,Wakil Gubernur,"H. Boyman Harun, S.H."
2018,Provinsi Kalimantan Barat,2,Gubernur,Dr. Karolin Margret Natasa
2018,Provinsi Kalimantan Barat,2,Wakil Gubernur,"Suryadman Gidot, M.Pd."
2018,Provinsi Kalimantan Barat,3,Gubernur,"H. Sutarmidji, S.H., M.Hum."
2018,Provinsi Kalimantan Barat,3,Wakil Gubernur,"Drs. H. Ria Norsan, M.M., M.H."
2018,Provinsi Kalimantan Timur,1,Gubernur,"Dr. H. Andi Sofyan Hasdam, Sp.S"
2018,Provinsi Kalimantan Timur,1,Wakil Gubernur,"H.M. Rizal Effendi, Se"
2018,Provinsi Kalimantan Timur,2,Gubernur,"H. Syaharie Ja'Ang, Sh,M.Si"
2018,Provinsi Kalimantan Timur,2,Wakil Gubernur,"H. Awang Ferdian Hidayat, Se, Mm"
2018,Provinsi Kalimantan Timur,3,Gubernur,"Dr. Ir. H. Isran Noor, M.Si"
2018,Provinsi Kalimantan Timur,3,Wakil Gubernur,"H. Hadi Mulyadi, S.Si, M.Si"
2018,Provinsi Kalimantan Timur,4,Gubernur,"Ir. H. Rusmadi, Ms, Ph.D"
2018,Provinsi Kalimantan Timur,4,Wakil Gubernur,Drs. H. Safaruddin
2018,Provinsi Lampung,1,Gubernur,"H. Muhammad Ridho Ficardo, M.Si"
2018,Provinsi Lampung,1,Wakil Gubernur,"Bachtiar Basri, Sh., Mm"
2018,Provinsi Lampung,2,Gubernur,"Drs. H. Herman Hasanusi, Mm"
2018,Provinsi Lampung,2,Wakil Gubernur,"Ir. Sutono, Mm"
2018,Provinsi Lampung,3,Gubernur,Ir. H. Arinal Djunaidi
2018,Provinsi Lampung,3,Wakil Gubernur,"Hj. Chusnunia, Ph.D"
2018,Provinsi Lampung,4,Gubernur,Dr. H. Mustafa
2018,Provinsi Lampung,4,Wakil Gubernur,"H. Ahmad Jajuli Sip.,M.Si"
2018,Provinsi Maluku,1,Gubernur,Ir.Said Assagaff
2018,Provinsi Maluku,1,Wakil Gubernur,Ir.Anderias Rentanubun
2018,Provinsi Maluku,2,Gubernur,Irjen Pol. (Purn) Drs. Murad Ismail
2018,Provinsi Maluku,2,Wakil Gubernur,Drs. Barnabas Orno
2018,Provinsi Maluku,3,Gubernur,"Herman Adrian Koedoeboen,Sh.M.Si"
2018,Provinsi Maluku,3,Wakil Gubernur,"H.Abdullah Vanath,S.Sos,Mmp"
2018,Provinsi Maluku Utara,1,Gubernur,Ahmad Hidayat Mus
2018,Provinsi Maluku Utara,1,Wakil Gubernur,Dr. Rivai Umar
2018,Provinsi Maluku Utara,2,Gubernur,"Dr. H. Burhan Abdurahman, Sh., Mm."
2018,Provinsi Maluku Utara,2,Wakil Gubernur,"Drs. Ishak Jamaluddin, M.Pd."
2018,Provinsi Maluku Utara,3,Gubernur,"Kh. Abdul Gani Kasuba, Lc."
2018,Provinsi Maluku Utara,3,Wakil Gubernur,"Ir. M. Al Yasin Ali, M.Mt."
2018,Provinsi Maluku Utara,4,Gubernur,"Dr. H. Muhammad Kasuba, M.A."
2018,Provinsi Maluku Utara,4,Wakil Gubernur,"Drs. A. Madjid Husen, M.M."
2018,Provinsi Nusa Tenggara Barat,1,Gubernur,"H. Moh. Suhaili Fadil Thohir, Sh"
2018,Provinsi Nusa Tenggara Barat,1,Wakil Gubernur,"H. Muh. Amin, Sh., M.Si"
2018,Provinsi Nusa Tenggara Barat,2,Gubernur,Tgh. Ahyar Abduh
2018,Provinsi Nusa Tenggara Barat,2,Wakil Gubernur,"H. Mori Hanafi, Se."
2018,Provinsi Nusa Tenggara Barat,3,Gubernur,"Dr. H. Zulkieflimansyah, Se, M.Sc"
2018,Provinsi Nusa Tenggara Barat,3,Wakil Gubernur,"Dr. Ir. Hj. Sitti Rohmi Djalilah, M.Pd"
2018,Provinsi Nusa Tenggara Barat,4,Gubernur,H. Moch. Ali Bin Dachlan
2018,Provinsi Nusa Tenggara Barat,4,Wakil Gubernur,"Tgh. Lalu Gede Muhamad Ali Wirasakti Amir Murni, Lc, Ma."
2018,Provinsi Nusa Tenggara Timur,1,Gubernur,"Ir. Esthon Leyloh Foenay, M.Si"
2018,Provinsi Nusa Tenggara Timur,1,Wakil Gubernur,Drs. Christian Rotok
2018,Provinsi Nusa Tenggara Timur,2,Gubernur,"Marianus Sae, S.Ap"
2018,Provinsi Nusa Tenggara Timur,2,Wakil Gubernur,Ir. Emelia Julia Nomleni
2018,Provinsi Nusa Tenggara Timur,3,Gubernur,"Dr. Benediktus Kabur Harman, Sh"
2018,Provinsi Nusa Tenggara Timur,3,Wakil Gubernur,"Drs. Benny Alexander Litelnoni, Sh., M.Si"
2018,Provinsi Nusa Tenggara Timur,4,Gubernur,Viktor Bungtilu Laiskodat
2018,Provinsi Nusa Tenggara Timur,4,Wakil Gubernur,Josef Adreanus Nae Soi
2018,Provinsi Papua,1,Gubernur,"Lukas Enembe.S.Ip, Mh"
2018,Provinsi Papua,1,Wakil Gubernur,"Klemen Tinal, Se.,Mm"
2018,Provinsi Papua,2,Gubernur,"Jhon Wempi Wetipo, Sh,. Mh"
2018,Provinsi Papua,2,Wakil Gubernur,"Dr. Habel Melkias Suwae, S.Sos,. Mm"
2018,Provinsi Riau,1,Gubernur,"Drs. H. Syamsuar, M.Si"
2018,Provinsi Riau,1,Wakil Gubernur,H. Edy Nasution
2018,Provinsi Riau,2,Gubernur,"Muhamad Lukman Edy, M.Si"
2018,Provinsi Riau,2,Wakil Gubernur,"Hardianto, Se"
2018,Provinsi Riau,3,Gubernur,"Dr. H. Firdaus, St.Mt"
2018,Provinsi Riau,3,Wakil Gubernur,"H. Rusli Effendi, Se, S.Pd.I, M.Si"
2018,Provinsi Riau,4,Gubernur,"Ir. H. Arsyadjuliandi Rahman, Mba"
2018,Provinsi Riau,4,Wakil Gubernur,"H. Suyatno, Amp"
2018,Provinsi Sulawesi Selatan,1,Gubernur,H. A. M. Nurdin Halid
2018,Provinsi Sulawesi Selatan,1,Wakil Gubernur,Dr. Ir. H. Abd. Aziz Qahhar Mudzakkar
2018,Provinsi Sulawesi Selatan,2,Gubernur,"Ir. H. Agus Arifin Nu'Mang, Ms"
2018,Provinsi Sulawesi Selatan,2,Wakil Gubernur,"Mayjen Tni (Purn) Drs. Tanribali Lamo, Sh"
2018,Provinsi Sulawesi Selatan,3,Gubernur,"Prof. Dr. Ir. H. M. Nurdin Abdullah, M.Agr."
2018,Provinsi Sulawesi Selatan,3,Wakil Gubernur,"Andi Sudirman Sulaiman, St"
2018,Provinsi Sulawesi Selatan,4,Gubernur,"H. Ichsan Yasin Limpo, Sh, Mh"
2018,Provinsi Sulawesi Selatan,4,Wakil Gubernur,"Ir. H. Andi Muzakkar, Mh"
2018,Provinsi Sulawesi Tenggara,1,Gubernur,"H. Ali Mazi, Sh"
2018,Provinsi Sulawesi Tenggara,1,Wakil Gubernur,"Dr. H. Lukman Abunawas, Sh, M.Si"
2018,Provinsi Sulawesi Tenggara,2,Gubernur,"Dr.Ir.H. Asrun, M.Eng.,Sc"
2018,Provinsi Sulawesi Tenggara,2,Wakil Gubernur,Ir. Hugua
2018,Provinsi Sulawesi Tenggara,3,Gubernur,Rusda Mahmud
2018,Provinsi Sulawesi Tenggara,3,Wakil Gubernur,Ir.H.Lm. Sjafei Kahar
2018,Provinsi Sumatera Selatan,1,Gubernur,"H. Herman Deru, Sh, Mm"
2018,Provinsi Sumatera Selatan,1,Wakil Gubernur,Ir. H. Mawardi Yahya
2018,Provinsi Sumatera Selatan,2,Gubernur,"H. Saifudin Aswari Riva'I, S.E"
2018,Provinsi Sumatera Selatan,2,Wakil Gubernur,"H.M. Irwansyah, S.Sos, M.Si"
2018,Provinsi Sumatera Selatan,3,Gubernur,"Ir. H. Ishak Mekki, Mm"
2018,Provinsi Sumatera Selatan,3,Wakil Gubernur,"Yudha Pratomo, M.Sc. Ph.D"
2018,Provinsi Sumatera Selatan,4,Gubernur,"H. Dodi Reza Alex Noerdin, Lic, Econ. Mba"
2018,Provinsi Sumatera Selatan,4,Wakil Gubernur,"H.M Giri Ramanda N. Kiemas Se, Mm"
2018,Provinsi Sumatera Utara,1,Gubernur,Edy Rahmayadi
2018,Provinsi Sumatera Utara,1,Wakil Gubernur,Musa Rajekshah
2018,Provinsi Sumatera Utara,2,Gubernur,Djarot Saiful Hidayat
2018,Provinsi Sumatera Utara,2,Wakil Gubernur,Sihar P.H. Sitorus
2018,Kabupaten Aceh Selatan,1,Bupati,"Tgk. Husin Yusuf, S.Pd.I"
2018,Kabupaten Aceh Selatan,1,Wakil Bupati,"Dr. Mustafril, St, M.Si"
2018,Kabupaten Aceh Selatan,2,Bupati,"H. Azwir, S. Sos"
2018,Kabupaten Aceh Selatan,2,Wakil Bupati,Tgk. Amran
2018,Kabupaten Aceh Selatan,3,Bupati,"Drs. H. Zulkarnaini, M. Si"
2018,Kabupaten Aceh Selatan,3,Wakil Bupati,M. Jasa
2018,Kabupaten Aceh Selatan,4,Bupati,"Darman, Sp, M.M."
2018,Kabupaten Aceh Selatan,4,Wakil Bupati,"Baital Makmur, Se"
2018,Kabupaten Aceh Selatan,5,Bupati,"H. T. Sama Indra, Sh"
2018,Kabupaten Aceh Selatan,5,Wakil Bupati,"Drs. H. Harmaini, M.Si"
2018,Kabupaten Aceh Selatan,6,Bupati,"H. Mirwan Ms, Se"
2018,Kabupaten Aceh Selatan,6,Wakil Bupati,"Zirhan, Sp"
2018,Kabupaten Aceh Selatan,7,Bupati,"H. Karman, Se"
2018,Kabupaten Aceh Selatan,7,Wakil Bupati,H. Afdhal Yasin
