Nomor,Tahun,Daerah,No Pasangan,Jabatan,Nama,Jumlah Suara,Persentase Suara
1,2018,Provinsi Bali,1,Gubernur,"Dr. Ir. Wayan Koster, M.M.",1.211.517,57.62%
1,2018,Provinsi Bali,1,Wakil Gubernur,"Dr. Ir. Tjok Oka Artha Ardhana Sukawati, M.Si.",1.211.517,57.62%
1,2018,Provinsi Bali,2,Gubernur,"Ida Bagus Rai Dharmawijaya Mantra, S.E., M.Si",891.062,42.38%
1,2018,Provinsi Bali,2,Wakil Gubernur,Drs. I Ketut Sudikerta,891.062,42.38%
2,2018,Provinsi Jawa Barat,1,Gubernur,"H. Mochamad Ridwan Kamil, St., M.U.D",7.236.448,32.90%
2,2018,Provinsi Jawa Barat,1,Wakil Gubernur,"H. Uu Ruzhanul Ulum, Se",7.236.448,32.90%
2,2018,Provinsi Jawa Barat,2,Gubernur,"Mayjen Tni (Purn.) Dr. H. Hasanuddin, Se., Mm",2.786.052,12.67%
2,2018,Provinsi Jawa Barat,2,Wakil Gubernur,"Irjen. Pol (Purn.) Dr. Drs. H. Anton Charliyan, M.P.K.N.",2.786.052,12.67%
2,2018,Provinsi Jawa Barat,3,Gubernur,"Mayjen Tni (Purn) H. Sudrajat, M.Pa",6.303.255,28.66%
2,2018,Provinsi Jawa Barat,3,Wakil Gubernur,H. Ahmad Syaikhu,6.303.255,28.66%
2,2018,Provinsi Jawa Barat,4,Gubernur,"H. Deddy Mizwar, Se., S.Sn., M.I.Pol",5.669.513,25.78%
2,2018,Provinsi Jawa Barat,4,Wakil Gubernur,"H. Dedi Mulyadi, Sh",5.669.513,25.78%
3,2018,Provinsi Jawa Tengah,1,Gubernur,"H. Ganjar Pranowo, S.H, M.Ip",9.903.485,59.52%
3,2018,Provinsi Jawa Tengah,1,Wakil Gubernur,H. Taj Yasin,9.903.485,59.52%
3,2018,Provinsi Jawa Tengah,2,Gubernur,H. Sudirman Said,6.734.913,40.48%
3,2018,Provinsi Jawa Tengah,2,Wakil Gubernur,Hj. Ida Fauziyah,6.734.913,40.48%
4,2018,Provinsi Jawa Timur,1,Gubernur,Khofifah Indar Parawansa,10.327.690,53.56%
4,2018,Provinsi Jawa Timur,1,Wakil Gubernur,"Dr. Emil Elestianto Dardak, M.Sc.",10.327.690,53.56%
4,2018,Provinsi Jawa Timur,2,Gubernur,Drs. H. Saifullah Yusuf,8.955.979,46.44%
4,2018,Provinsi Jawa Timur,2,Wakil Gubernur,"Hj. Puti Guntur Soekarno, S.Ip",8.955.979,46.44%
5,2018,Provinsi Kalimantan Barat,1,Gubernur,"Drs. Milton Crosby, M.Si.",344.006,13.01%
5,2018,Provinsi Kalimantan Barat,1,Wakil Gubernur,"H. Boyman Harun, S.H.",344.006,13.01%
5,2018,Provinsi Kalimantan Barat,2,Gubernur,Dr. Karolin Margret Natasa,1.037.424,39.25%
5,2018,Provinsi Kalimantan Barat,2,Wakil Gubernur,"Suryadman Gidot, M.Pd.",1.037.424,39.25%
5,2018,Provinsi Kalimantan Barat,3,Gubernur,"H. Sutarmidji, S.H., M.Hum.",1.261.758,47.74%
5,2018,Provinsi Kalimantan Barat,3,Wakil Gubernur,"Drs. H. Ria Norsan, M.M., M.H.",1.261.758,47.74%
6,2018,Provinsi Kalimantan Timur,1,Gubernur,"Dr. H. Andi Sofyan Hasdam, Sp.S",288.665,21.65%
6,2018,Provinsi Kalimantan Timur,1,Wakil Gubernur,"H.M. Rizal Effendi, Se",288.665,21.65%
6,2018,Provinsi Kalimantan Timur,2,Gubernur,"H. Syaharie Ja'Ang, Sh,M.Si",302.826,22.71%
6,2018,Provinsi Kalimantan Timur,2,Wakil Gubernur,"H. Awang Ferdian Hidayat, Se, Mm",302.826,22.71%
6,2018,Provinsi Kalimantan Timur,3,Gubernur,"Dr. Ir. H. Isran Noor, M.Si",417.139,31.29%
6,2018,Provinsi Kalimantan Timur,3,Wakil Gubernur,"H. Hadi Mulyadi, S.Si, M.Si",417.139,31.29%
6,2018,Provinsi Kalimantan Timur,4,Gubernur,"Ir. H. Rusmadi, Ms, Ph.D",324.617,24.35%
6,2018,Provinsi Kalimantan Timur,4,Wakil Gubernur,Drs. H. Safaruddin,324.617,24.35%
7,2018,Provinsi Lampung,1,Gubernur,"H. Muhammad Ridho Ficardo, M.Si",934.407,22.00%
7,2018,Provinsi Lampung,1,Wakil Gubernur,"Bachtiar Basri, Sh., Mm",934.407,22.00%
7,2018,Provinsi Lampung,2,Gubernur,"Drs. H. Herman Hasanusi, Mm",1.033.159,24.32%
7,2018,Provinsi Lampung,2,Wakil Gubernur,"Ir. Sutono, Mm",1.033.159,24.32%
7,2018,Provinsi Lampung,3,Gubernur,Ir. H. Arinal Djunaidi,1.562.020,36.77%
7,2018,Provinsi Lampung,3,Wakil Gubernur,"Hj. Chusnunia, Ph.D",1.562.020,36.77%
7,2018,Provinsi Lampung,4,Gubernur,Dr. H. Mustafa,717.974,16.90%
7,2018,Provinsi Lampung,4,Wakil Gubernur,"H. Ahmad Jajuli Sip.,M.Si",717.974,16.90%
8,2018,Provinsi Maluku,1,Gubernur,Ir.Said Assagaff,246.583,31.76%
8,2018,Provinsi Maluku,1,Wakil Gubernur,Ir.Anderias Rentanubun,246.583,31.76%
8,2018,Provinsi Maluku,2,Gubernur,Irjen Pol. (Purn) Drs. Murad Ismail,306.636,39.49%
8,2018,Provinsi Maluku,2,Wakil Gubernur,Drs. Barnabas Orno,306.636,39.49%
8,2018,Provinsi Maluku,3,Gubernur,"Herman Adrian Koedoeboen,Sh.M.Si",223.198,28.75%
8,2018,Provinsi Maluku,3,Wakil Gubernur,"H.Abdullah Vanath,S.Sos,Mmp",223.198,28.75%
9,2018,Provinsi Maluku Utara,1,Gubernur,Ahmad Hidayat Mus,176.973,31.91%
9,2018,Provinsi Maluku Utara,1,Wakil Gubernur,Dr. Rivai Umar,176.973,31.91%
9,2018,Provinsi Maluku Utara,2,Gubernur,"Dr. H. Burhan Abdurahman, Sh., Mm.",143.439,25.87%
9,2018,Provinsi Maluku Utara,2,Wakil Gubernur,"Drs. Ishak Jamaluddin, M.Pd.",143.439,25.87%
9,2018,Provinsi Maluku Utara,3,Gubernur,"Kh. Abdul Gani Kasuba, Lc.",168.946,30.47%
9,2018,Provinsi Maluku Utara,3,Wakil Gubernur,"Ir. M. Al Yasin Ali, M.Mt.",168.946,30.47%
9,2018,Provinsi Maluku Utara,4,Gubernur,"Dr. H. Muhammad Kasuba, M.A.",65.169,11.75%
9,2018,Provinsi Maluku Utara,4,Wakil Gubernur,"Drs. A. Madjid Husen, M.M.",65.169,11.75%
10,2018,Provinsi Nusa Tenggara Barat,1,Gubernur,"H. Moh. Suhaili Fadil Thohir, Sh",674.954,26.44%
10,2018,Provinsi Nusa Tenggara Barat,1,Wakil Gubernur,"H. Muh. Amin, Sh., M.Si",674.954,26.44%
10,2018,Provinsi Nusa Tenggara Barat,2,Gubernur,Tgh. Ahyar Abduh,636.027,24.92%
10,2018,Provinsi Nusa Tenggara Barat,2,Wakil Gubernur,"H. Mori Hanafi, Se.",636.027,24.92%
10,2018,Provinsi Nusa Tenggara Barat,3,Gubernur,"Dr. H. Zulkieflimansyah, Se, M.Sc",811.489,31.79%
10,2018,Provinsi Nusa Tenggara Barat,3,Wakil Gubernur,"Dr. Ir. Hj. Sitti Rohmi Djalilah, M.Pd",811.489,31.79%
10,2018,Provinsi Nusa Tenggara Barat,4,Gubernur,H. Moch. Ali Bin Dachlan,430.136,16.85%
10,2018,Provinsi Nusa Tenggara Barat,4,Wakil Gubernur,"Tgh. Lalu Gede Muhamad Ali Wirasakti Amir Murni, Lc, Ma.",430.136,16.85%
11,2018,Provinsi Nusa Tenggara Timur,1,Gubernur,"Ir. Esthon Leyloh Foenay, M.Si",447.871,19.44%
11,2018,Provinsi Nusa Tenggara Timur,1,Wakil Gubernur,Drs. Christian Rotok,447.871,19.44%
11,2018,Provinsi Nusa Tenggara Timur,2,Gubernur,"Marianus Sae, S.Ap",583.794,25.34%
11,2018,Provinsi Nusa Tenggara Timur,2,Wakil Gubernur,Ir. Emelia Julia Nomleni,583.794,25.34%
11,2018,Provinsi Nusa Tenggara Timur,3,Gubernur,"Dr. Benediktus Kabur Harman, Sh",477.252,20.72%
11,2018,Provinsi Nusa Tenggara Timur,3,Wakil Gubernur,"Drs. Benny Alexander Litelnoni, Sh., M.Si",477.252,20.72%
11,2018,Provinsi Nusa Tenggara Timur,4,Gubernur,Viktor Bungtilu Laiskodat,794.695,34.50%
11,2018,Provinsi Nusa Tenggara Timur,4,Wakil Gubernur,Josef Adreanus Nae Soi,794.695,34.50%
12,2018,Provinsi Papua,1,Gubernur,"Lukas Enembe.S.Ip, Mh",846.105,62.36%
12,2018,Provinsi Papua,1,Wakil Gubernur,"Klemen Tinal, Se.,Mm",846.105,62.36%
12,2018,Provinsi Papua,2,Gubernur,"Jhon Wempi Wetipo, Sh,. Mh",510.68,37.64%
12,2018,Provinsi Papua,2,Wakil Gubernur,"Dr. Habel Melkias Suwae, S.Sos,. Mm",510.68,37.64%
13,2018,Provinsi Riau,1,Gubernur,"Drs. H. Syamsuar, M.Si",720.695,31.87%
13,2018,Provinsi Riau,1,Wakil Gubernur,H. Edy Nasution,720.695,31.87%
13,2018,Provinsi Riau,2,Gubernur,"Muhamad Lukman Edy, M.Si",359.79,15.91%
13,2018,Provinsi Riau,2,Wakil Gubernur,"Hardianto, Se",359.79,15.91%
13,2018,Provinsi Riau,3,Gubernur,"Dr. H. Firdaus, St.Mt",435.725,19.27%
13,2018,Provinsi Riau,3,Wakil Gubernur,"H. Rusli Effendi, Se, S.Pd.I, M.Si",435.725,19.27%
13,2018,Provinsi Riau,4,Gubernur,"Ir. H. Arsyadjuliandi Rahman, Mba",745.389,32.96%
13,2018,Provinsi Riau,4,Wakil Gubernur,"H. Suyatno, Amp",745.389,32.96%
14,2018,Provinsi Sulawesi Selatan,1,Gubernur,H. A. M. Nurdin Halid,1.153.814,27.36%
14,2018,Provinsi Sulawesi Selatan,1,Wakil Gubernur,Dr. Ir. H. Abd. Aziz Qahhar Mudzakkar,1.153.814,27.36%
14,2018,Provinsi Sulawesi Selatan,2,Gubernur,"Ir. H. Agus Arifin Nu'Mang, Ms",422.889,10.03%
14,2018,Provinsi Sulawesi Selatan,2,Wakil Gubernur,"Mayjen Tni (Purn) Drs. Tanribali Lamo, Sh",422.889,10.03%
14,2018,Provinsi Sulawesi Selatan,3,Gubernur,"Prof. Dr. Ir. H. M. Nurdin Abdullah, M.Agr.",1.824.516,43.27%
14,2018,Provinsi Sulawesi Selatan,3,Wakil Gubernur,"Andi Sudirman Sulaiman, St",1.824.516,43.27%
14,2018,Provinsi Sulawesi Selatan,4,Gubernur,"H. Ichsan Yasin Limpo, Sh, Mh",815.316,19.34%
14,2018,Provinsi Sulawesi Selatan,4,Wakil Gubernur,"Ir. H. Andi Muzakkar, Mh",815.316,19.34%
15,2018,Provinsi Sulawesi Tenggara,1,Gubernur,"H. Ali Mazi, Sh",495.283,43.64%
15,2018,Provinsi Sulawesi Tenggara,1,Wakil Gubernur,"Dr. H. Lukman Abunawas, Sh, M.Si",495.283,43.64%
15,2018,Provinsi Sulawesi Tenggara,2,Gubernur,"Dr.Ir.H. Asrun, M.Eng.,Sc",280.834,24.75%
15,2018,Provinsi Sulawesi Tenggara,2,Wakil Gubernur,Ir. Hugua,280.834,24.75%
15,2018,Provinsi Sulawesi Tenggara,3,Gubernur,Rusda Mahmud,358.763,31.61%
15,2018,Provinsi Sulawesi Tenggara,3,Wakil Gubernur,Ir.H.Lm. Sjafei Kahar,358.763,31.61%
16,2018,Provinsi Sumatera Selatan,1,Gubernur,"H. Herman Deru, Sh, Mm",776.988,29.57%
16,2018,Provinsi Sumatera Selatan,1,Wakil Gubernur,Ir. H. Mawardi Yahya,776.988,29.57%
16,2018,Provinsi Sumatera Selatan,2,Gubernur,"H. Saifudin Aswari Riva'I, S.E",268.144,10.20%
16,2018,Provinsi Sumatera Selatan,2,Wakil Gubernur,"H.M. Irwansyah, S.Sos, M.Si",268.144,10.20%
16,2018,Provinsi Sumatera Selatan,3,Gubernur,"Ir. H. Ishak Mekki, Mm",438.839,16.70%
16,2018,Provinsi Sumatera Selatan,3,Wakil Gubernur,"Yudha Pratomo, M.Sc. Ph.D",438.839,16.70%
16,2018,Provinsi Sumatera Selatan,4,Gubernur,"H. Dodi Reza Alex Noerdin, Lic, Econ. Mba",1.143.617,43.52%
16,2018,Provinsi Sumatera Selatan,4,Wakil Gubernur,"H.M Giri Ramanda N. Kiemas Se, Mm",1.143.617,43.52%
17,2018,Provinsi Sumatera Utara,1,Gubernur,Edy Rahmayadi,3.234.017,57.41%
17,2018,Provinsi Sumatera Utara,1,Wakil Gubernur,Musa Rajekshah,3.234.017,57.41%
17,2018,Provinsi Sumatera Utara,2,Gubernur,Djarot Saiful Hidayat,2.399.218,42.59%
17,2018,Provinsi Sumatera Utara,2,Wakil Gubernur,Sihar P.H. Sitorus,2.399.218,42.59%
18,2018,Kabupaten Aceh Selatan,1,Bupati,"Tgk. Husin Yusuf, S.Pd.I",5.796,4.47%
18,2018,Kabupaten Aceh Selatan,1,Wakil Bupati,"Dr. Mustafril, St, M.Si",5.796,4.47%
18,2018,Kabupaten Aceh Selatan,2,Bupati,"H. Azwir, S. Sos",46.291,35.66%
18,2018,Kabupaten Aceh Selatan,2,Wakil Bupati,Tgk. Amran,46.291,35.66%
18,2018,Kabupaten Aceh Selatan,3,Bupati,"Drs. H. Zulkarnaini, M. Si",1.396,1.08%
18,2018,Kabupaten Aceh Selatan,3,Wakil Bupati,M. Jasa,1.396,1.08%
18,2018,Kabupaten Aceh Selatan,4,Bupati,"Darman, Sp, M.M.",1.693,1.30%
18,2018,Kabupaten Aceh Selatan,4,Wakil Bupati,"Baital Makmur, Se",1.693,1.30%
18,2018,Kabupaten Aceh Selatan,5,Bupati,"H. T. Sama Indra, Sh",37.372,28.79%
18,2018,Kabupaten Aceh Selatan,5,Wakil Bupati,"Drs. H. Harmaini, M.Si",37.372,28.79%
18,2018,Kabupaten Aceh Selatan,6,Bupati,"H. Mirwan Ms, Se",33.739,25.99%
18,2018,Kabupaten Aceh Selatan,6,Wakil Bupati,"Zirhan, Sp",33.739,25.99%
18,2018,Kabupaten Aceh Selatan,7,Bupati,"H. Karman, Se",3.52,2.71%
18,2018,Kabupaten Aceh Selatan,7,Wakil Bupati,H. Afdhal Yasin,3.52,2.71%
19,2018,Kota Subulussalam,1,Walikota,Drh. Jalaluddin,139,0.30%
19,2018,Kota Subulussalam,1,Wakil Walikota,Wagiman,139,0.30%
19,2018,Kota Subulussalam,2,Walikota,"Hj. Sartina, Na, Se. M.Si",13.673,29.68%
19,2018,Kota Subulussalam,2,Wakil Walikota,"Dedi Anwar Bancin, Se",13.673,29.68%
19,2018,Kota Subulussalam,3,Walikota,"H. Asmauddin, Se",11.962,25.97%
19,2018,Kota Subulussalam,3,Wakil Walikota,"Hj. Asmidar, S.Pd",11.962,25.97%
19,2018,Kota Subulussalam,4,Walikota,"H. Anasri, St. Mt",1.214,2.64%
19,2018,Kota Subulussalam,4,Wakil Walikota,Sabaruddin S. S.Pd.I,1.214,2.64%
19,2018,Kota Subulussalam,5,Walikota,"H. Affan Alfian, Se",19.073,41.41%
19,2018,Kota Subulussalam,5,Wakil Walikota,"Drs. Salmaza, M.Ap",19.073,41.41%
20,2018,Kabupaten Pidie Jaya,1,Bupati,Ir. H. Yusri Yusuf,23.543,29.62%
20,2018,Kabupaten Pidie Jaya,1,Wakil Bupati,Kolonel (Purn) Saifullah,23.543,29.62%
20,2018,Kabupaten Pidie Jaya,2,Bupati,Aiyub Bin Abbas,40.945,51.51%
20,2018,Kabupaten Pidie Jaya,2,Wakil Bupati,"Said Mulyadi, Se, M.Si",40.945,51.51%
20,2018,Kabupaten Pidie Jaya,3,Bupati,Muhibbuddin M.Husen,8.987,11.31%
20,2018,Kabupaten Pidie Jaya,3,Wakil Bupati,H. M. Yusuf Ibrahim,8.987,11.31%
