Website,Kategori,Tahun,Bulan,Hari,Jam,Menit,Nama Toko,Nama Barang,Jumlah Transaksi,Transaksi Sukses,Barang Terkirim,Dilihat,Lokasi,Kondisi
Tokopedia,Fashion Pria,2018,9,3,15,44,GTMan Official,"GT MAN - GMZ CELANA DALAM KARET - 3PC - MULTICOLOUR  - Navy, S",152,98.68%,257,"5,8rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,45,bracini,Dompet Pria Bracini Gio Hitam,39,100%,40,"8,6rb",Kota Tangerang,Baru
Tokopedia,Fashion Pria,2018,9,3,15,45,bracini,Tas selempang Pria Bracini Marquez Hitam,16,100%,16,"1,9rb",Kota Tangerang,Baru
Tokopedia,Fashion Pria,2018,9,3,15,45,renoma,"Renoma Mini Brief Soft Touch 9282 Celana Dalam Pria 2in1 Biru Merah - Biru, XL",3,100%,3,557,DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,45,Damn! I Love Indonesia,"DAMN! I LOVE INDONESIA HOOD MALE LONGITUDE CIRCLE MISTY - Abu-abu Muda, M",4,75%,3,"4,5rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,45,Luxolite SG,Jam Tangan Pria Fossil Minimalist Slim Navy Leather FS5371,5,100%,5,"6,5rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,45,Batik Pria Tampan Solo,"Batik Pria Tampan -  Kemeja Slimfit Green Triangle Spot - green, S",4,100%,4,"1,3rb",Kota Surakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,46,Skelly Official,"SKELLY WIMBLEDON POLO SKYBLUE - Biru Muda, S",4,100%,4,728,DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,46,LGS Generation,"LGS - Slim Fit - Kaos Casual - Biru - Lengan Panjang - Bergambar - Navy, M",0,0,0,"1,2rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,46,RBJ Official,RBJ Topi 27520119 Hitam,0,0,0,6rb,DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,46,Men's Republic,Mens Republic Wallet - Willem,0,0,0,"1,7rb",Kota Tangerang,Baru
Tokopedia,Fashion Pria,2018,9,3,15,46,Agrapana Batik,"Agrapana Kemeja Batik Print Adwitiya Lengan Panjang Hitam - Hitam, M",0,0,0,"1,1rb",Kota Bandung,Baru
Tokopedia,Fashion Pria,2018,9,3,15,47,Asana Batik,Asana Baliara Short Sleeves Slim Fit - Black FS,,,,,DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,47,Cottonology Indonesia,"Cottonology Hella Long Blue - Biru Muda, S",0,0,0,802,Kota Bandung,Baru
Tokopedia,Fashion Pria,2018,9,3,15,47,Startime Official,VALENTINO RUDY VR121-1312G,0,0,0,"2,6rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,47,Homyped Official,"Sepatu Slip On Homyped Pria HPM 1711 BLUE - Biru, 40",0,0,0,"1,2rb",Kota Tangerang,Baru
Tokopedia,Fashion Pria,2018,9,3,15,47,Shoesmart Official,"Tony Perotti Sandals Elvis - Black - Hitam, 40",0,0,0,367,Kota Surabaya,Baru
Tokopedia,Fashion Pria,2018,9,3,15,47,GUTEN INC,"GUTEN INC - Rocky Camo Jogger Pants  / Celana Jogger Pria - Cokelat, 34",0,0,0,"1,1rb",Kota Bandung,Baru
Tokopedia,Fashion Pria,2018,9,3,15,48,Emba Classic,"EMBA CLASSIC- Aldercy Warna Heavy Storm - Navy, 27",0,0,0,"1,6rb",Kota Malang,Baru
Tokopedia,Fashion Pria,2018,9,3,15,48,Condotti,Jam Tangan Pria Condotti CN3058-B03-L03,0,0,0,867,DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,48,Juraganacc,Original 100% Xiaomi Crossbody Sling Bag - Hitam,"1,1rb",99.55%,"1,4rb","29,2rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,48,Motochiefdotnet,Tas Selempang Mark Ryden MR5898 - gray,2rb,99.75%,"2,1rb","86,4rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,48,YUZNA CELL,"kaos oblong rider r223b khusus putih - Putih, S","1,1rb",99.1%,"4,2rb","17,8rb",Kota Depok,Baru
Tokopedia,Fashion Pria,2018,9,3,15,49,yeakh,Tas Selempang Pria/clutch/handbag ISHIYA-KOFU (impor) - Cokelat Muda,"1,4rb",99.12%,"1,6rb","46,3rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,49,YUZNA CELL,"CELANA DALAM PRIA RIDER R 325 B UK S M L XL GROSIR ANTI BAKTERI KAOS - Putih, L","1,7rb",99.42%,"9,2rb","33,8rb",Kota Depok,Baru
Tokopedia,Fashion Pria,2018,9,3,15,49,Ravebags,Rave Travel Bag / Gym Bag / Fitness Bag - Navy,"1,7rb",99.06%,"1,8rb","51,4rb",DKI Jakarta,Baru
