Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Jakarta,2018,Luar,-,SMAN 1,IPA,1,11
Jakarta,2018,Luar,-,SMAN 1,IPA,2,8
Jakarta,2018,Luar,-,SMAN 1,IPA,3,9
Jakarta,2018,Luar,-,SMAN 1,IPS,1,9
Jakarta,2018,Luar,-,SMAN 1,IPS,2,7
Jakarta,2018,Luar,-,SMAN 1,IPS,3,4
Jakarta,2018,Luar,-,SMAN 2,IPA,1,13
Jakarta,2018,Luar,-,SMAN 2,IPA,2,1
Jakarta,2018,Luar,-,SMAN 2,IPA,3,0
Jakarta,2018,Luar,-,SMAN 2,IPS,1,10
Jakarta,2018,Luar,-,SMAN 2,IPS,2,6
Jakarta,2018,Luar,-,SMAN 2,IPS,3,4
Jakarta,2018,Luar,-,SMAN 3,IPA,1,27
Jakarta,2018,Luar,-,SMAN 3,IPA,2,9
Jakarta,2018,Luar,-,SMAN 3,IPA,3,12
Jakarta,2018,Luar,-,SMAN 3,IPS,1,9
Jakarta,2018,Luar,-,SMAN 3,IPS,2,21
Jakarta,2018,Luar,-,SMAN 3,IPS,3,8
Jakarta,2018,Luar,-,SMAN 4,IPA,1,5
Jakarta,2018,Luar,-,SMAN 4,IPA,2,5
Jakarta,2018,Luar,-,SMAN 4,IPA,3,6
Jakarta,2018,Luar,-,SMAN 4,IPS,1,10
Jakarta,2018,Luar,-,SMAN 4,IPS,2,8
Jakarta,2018,Luar,-,SMAN 4,IPS,3,3
Jakarta,2018,Luar,-,SMAN 4,BAHASA,1,3
Jakarta,2018,Luar,-,SMAN 4,BAHASA,2,4
Jakarta,2018,Luar,-,SMAN 4,BAHASA,3,6
Jakarta,2018,Luar,-,SMAN 5,IPA,1,11
Jakarta,2018,Luar,-,SMAN 5,IPA,2,6
Jakarta,2018,Luar,-,SMAN 5,IPA,3,5
Jakarta,2018,Luar,-,SMAN 5,IPS,1,9
Jakarta,2018,Luar,-,SMAN 5,IPS,2,6
Jakarta,2018,Luar,-,SMAN 5,IPS,3,6
Jakarta,2018,Luar,-,SMAN 6,IPA,1,11
Jakarta,2018,Luar,-,SMAN 6,IPA,2,17
Jakarta,2018,Luar,-,SMAN 6,IPA,3,8
Jakarta,2018,Luar,-,SMAN 6,IPS,1,20
Jakarta,2018,Luar,-,SMAN 6,IPS,2,9
Jakarta,2018,Luar,-,SMAN 6,IPS,3,15
Jakarta,2018,Luar,-,SMAN 7,IPA,1,14
Jakarta,2018,Luar,-,SMAN 7,IPA,2,16
Jakarta,2018,Luar,-,SMAN 7,IPA,3,8
Jakarta,2018,Luar,-,SMAN 7,IPS,1,16
Jakarta,2018,Luar,-,SMAN 7,IPS,2,12
Jakarta,2018,Luar,-,SMAN 7,IPS,3,11
Jakarta,2018,Luar,-,SMAN 8,IPA,1,34
Jakarta,2018,Luar,-,SMAN 8,IPA,2,7
Jakarta,2018,Luar,-,SMAN 8,IPA,3,3
Jakarta,2018,Luar,-,SMAN 8,IPS,1,5
Jakarta,2018,Luar,-,SMAN 8,IPS,2,7
Jakarta,2018,Luar,-,SMAN 8,IPS,3,1
Jakarta,2018,Luar,-,SMAN 9,IPA,1,7
Jakarta,2018,Luar,-,SMAN 9,IPA,2,8
Jakarta,2018,Luar,-,SMAN 9,IPA,3,11
Jakarta,2018,Luar,-,SMAN 9,IPS,1,20
Jakarta,2018,Luar,-,SMAN 9,IPS,2,14
Jakarta,2018,Luar,-,SMAN 9,IPS,3,13
Jakarta,2018,Luar,-,SMAN 10,IPA,1,13
Jakarta,2018,Luar,-,SMAN 10,IPA,2,8
Jakarta,2018,Luar,-,SMAN 10,IPA,3,3
Jakarta,2018,Luar,-,SMAN 10,IPS,1,11
Jakarta,2018,Luar,-,SMAN 10,IPS,2,10
Jakarta,2018,Luar,-,SMAN 10,IPS,3,15
Jakarta,2018,Luar,-,SMAN 11,IPA,1,11
Jakarta,2018,Luar,-,SMAN 11,IPA,2,9
Jakarta,2018,Luar,-,SMAN 11,IPA,3,9
Jakarta,2018,Luar,-,SMAN 11,IPS,1,7
Jakarta,2018,Luar,-,SMAN 11,IPS,2,10
Jakarta,2018,Luar,-,SMAN 11,IPS,3,11
Jakarta,2018,Luar,-,SMAN 12,IPA,1,4
Jakarta,2018,Luar,-,SMAN 12,IPA,2,6
Jakarta,2018,Luar,-,SMAN 12,IPA,3,5
Jakarta,2018,Luar,-,SMAN 12,IPS,1,11
Jakarta,2018,Luar,-,SMAN 12,IPS,2,7
Jakarta,2018,Luar,-,SMAN 12,IPS,3,6
Jakarta,2018,Luar,-,SMAN 13,IPA,1,12
Jakarta,2018,Luar,-,SMAN 13,IPA,2,3
Jakarta,2018,Luar,-,SMAN 13,IPA,3,4
Jakarta,2018,Luar,-,SMAN 13,IPS,1,11
Jakarta,2018,Luar,-,SMAN 13,IPS,2,7
