Provinsi,Tahun,Jalur,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Yogyakarta,2018,Reguler,-,SMAN 1 WONOSARI,IPA,1,193
Yogyakarta,2018,Reguler,-,SMAN 1 WONOSARI,IPA,2,24
Yogyakarta,2018,Reguler,-,SMAN 1 WONOSARI,IPA,3,15
Yogyakarta,2018,Reguler,-,SMAN 1 WONOSARI,IPS,1,92
Yogyakarta,2018,Reguler,-,SMAN 1 WONOSARI,IPS,2,118
Yogyakarta,2018,Reguler,-,SMAN 1 WONOSARI,IPS,3,38
Yogyakarta,2018,Reguler,-,SMAN 1 BANTUL,IPA,1,307
Yogyakarta,2018,Reguler,-,SMAN 1 BANTUL,IPA,2,53
Yogyakarta,2018,Reguler,-,SMAN 1 BANTUL,IPA,3,21
Yogyakarta,2018,Reguler,-,SMAN 1 BANTUL,IPS,1,94
Yogyakarta,2018,Reguler,-,SMAN 1 BANTUL,IPS,2,60
Yogyakarta,2018,Reguler,-,SMAN 1 BANTUL,IPS,3,18
Yogyakarta,2018,Reguler,-,SMAN 2 BANTUL,IPA,1,269
Yogyakarta,2018,Reguler,-,SMAN 2 BANTUL,IPA,2,261
Yogyakarta,2018,Reguler,-,SMAN 2 BANTUL,IPA,3,59
Yogyakarta,2018,Reguler,-,SMAN 2 BANTUL,IPS,1,99
Yogyakarta,2018,Reguler,-,SMAN 2 BANTUL,IPS,2,118
Yogyakarta,2018,Reguler,-,SMAN 2 BANTUL,IPS,3,42
Yogyakarta,2018,Reguler,-,SMAN 1 PATUK,IPA,1,56
Yogyakarta,2018,Reguler,-,SMAN 1 PATUK,IPA,2,42
Yogyakarta,2018,Reguler,-,SMAN 1 PATUK,IPA,3,22
Yogyakarta,2018,Reguler,-,SMAN 1 PATUK,IPS,1,71
Yogyakarta,2018,Reguler,-,SMAN 1 PATUK,IPS,2,68
Yogyakarta,2018,Reguler,-,SMAN 1 PATUK,IPS,3,16
Yogyakarta,2018,Reguler,-,SMAN 2 WATES,IPA,1,149
Yogyakarta,2018,Reguler,-,SMAN 2 WATES,IPA,2,114
Yogyakarta,2018,Reguler,-,SMAN 2 WATES,IPA,3,55
Yogyakarta,2018,Reguler,-,SMAN 2 WATES,IPS,1,71
Yogyakarta,2018,Reguler,-,SMAN 2 WATES,IPS,2,118
Yogyakarta,2018,Reguler,-,SMAN 2 WATES,IPS,3,44
Yogyakarta,2018,Reguler,-,SMAN 1 TEMON,IPA,1,55
