Kode,Provinsi,Kabupaten,Bahasa Indonesia,Bahasa Inggris,Matematika,Ekonomi,Sosiologi,Geografi
1114,Aceh,Aceh Tamiang,56.27,30.84,30.83,39.57,46.71,39.19
1106,Aceh,Aceh Tengah,49.78,33.91,29.73,28.7,38.03,29.31
1104,Aceh,Aceh Tenggara,39.05,31.69,25.93,22.64,28.07,31.12
1105,Aceh,Aceh Timur,46.67,28.34,26.89,25.95,33,35.23
1111,Aceh,Aceh Utara,43.36,30.34,28.89,28.59,33.97,23.92
1117,Aceh,Bener Meriah,51.91,29.08,30.74,24.49,44.74,43.46
1110,Aceh,Bireuen,46.21,27.21,27.7,22.4,32.75,30.92
1113,Aceh,Gayo Lues,45.44,33,27.69,20.66,37.78,34.35
1109,Aceh,Pidie,44.09,27.41,26.97,21.72,27.01,28.85
1118,Aceh,Pidie Jaya,42.02,40.19,40.46,21.64,29.73,34.48
1171,Aceh,Banda Aceh,64.37,54.35,55.35,25.56,47.71,32.25
1174,Aceh,Lhokseumawe,51.46,33.87,31.28,26.12,41.07,33.56
5103,Bali,Badung,62.79,55.11,37.49,43.66,55.25,30.03
5106,Bali,Bangli,56.11,37.18,31.48,55.36,39.14,33.09
5108,Bali,Buleleng,57.22,41.66,28.43,23.15,32.34,34.67
5104,Bali,Gianyar,63.68,50.87,40.79,48.33,60.59,29.17
5101,Bali,Jembrana,53.6,41.85,26.98,31.15,43.64,31.25
5107,Bali,Karang Asem,61.02,42.68,32.42,24.35,39.88,35.74
5105,Bali,Klungkung,60.23,51.47,33.85,30.02,56.57,31.29
5102,Bali,Tabanan,55.46,44.77,28.34,34.08,45.56,23.34
5171,Bali,Denpasar,67.24,65.76,42.32,42.03,60.23,27.68
1901,Bangka Belitung,Bangka,63.8,35.78,37.08,43.24,56.43,50.01
1903,Bangka Belitung,Bangka Barat,62.39,33.41,34.8,39.48,50.63,51.77
1905,Bangka Belitung,Bangka Selatan,55.96,29.72,31.23,36.49,51.12,43.53
1904,Bangka Belitung,Bangka Tengah,64.96,34.24,36.53,52.24,59.81,47.62
1902,Bangka Belitung,Belitung,64.34,37.52,37.28,38.28,58.77,37.12
1906,Bangka Belitung,Belitung Timur,65.68,35.39,37.61,47.01,60.17,51.4
1971,Bangka Belitung,Pangkalpinang,64.36,41.44,39.01,29.64,58.5,43.74
3602,Banten,Lebak,54.14,30.96,29.8,33.22,48.23,38.48
3601,Banten,Pandeglang,50.83,30.1,28.28,25.36,41.98,22.1
3604,Banten,Serang,50.2,29.19,28.47,17.38,37.74,23.02
3603,Banten,Tangerang,55.46,36.69,34.04,32.05,45.54,32.82
3672,Banten,Cilegon,55.25,33.13,27.21,26.06,47.44,23.35
3673,Banten,Serang,54.12,33.77,30.13,23.62,46.76,19.51
3671,Banten,Tangerang,61.36,43.93,36.83,37.72,53.61,36.26
3674,Banten,Tangerang Selatan,68.82,56.72,46.62,48.17,62.83,46.9
1701,Bengkulu,Bengkulu Selatan,56.23,33.44,30.19,32.15,51.08,30.01
1709,Bengkulu,Bengkulu Tengah,55.62,28.75,27.16,31.2,55,36.21
1703,Bengkulu,Bengkulu Utara,57.18,30.95,31.49,30.73,51.05,39.09
1704,Bengkulu,Kaur,51.61,30.15,26.02,20.81,38.5,32.61
1708,Bengkulu,Kepahiang,53.7,27.88,25.89,21.83,39.89,37.02
1707,Bengkulu,Lebong,53.84,27.58,26.66,30.23,48.3,25.43
1706,Bengkulu,Muko-muko,56.69,30.83,25.22,33.68,51.72,30.8
1702,Bengkulu,Rejang Lebong,55.84,32.77,30.57,26.26,44.02,39.09
1705,Bengkulu,Seluma,49.88,26.44,22.26,24.96,46.51,32.52
1771,Bengkulu,Bengkulu,59.62,37.67,33.26,37.5,55.02,37.82
3402,D.I. Yogyakarta,Bantul,70.99,46.27,46.19,48.37,65.4,48.26
3403,D.I. Yogyakarta,Gunung Kidul,69.73,41.61,42.48,45.09,56.13,43.52
3401,D.I. Yogyakarta,Kulon Progo,70.5,44.16,43.74,41.06,65.83,54.64
3404,D.I. Yogyakarta,Sleman,70.46,48.15,46.85,46.19,65.76,47.87
3471,D.I. Yogyakarta,Yogyakarta,70.71,52.97,49.2,52.06,63,51.37
3174,D.K.I. Jakarta,Jakarta Barat,71.48,59.27,52.63,55.24,57.58,45.41
3173,D.K.I. Jakarta,Jakarta Pusat,70.78,55.97,48.88,53.86,64.78,51.72
3171,D.K.I. Jakarta,Jakarta Selatan,71.86,60.58,48.4,52.15,63.92,52.32
3172,D.K.I. Jakarta,Jakarta Timur,69.71,54.04,46.06,50,63.37,51.68
3175,D.K.I. Jakarta,Jakarta Utara,69.93,56.08,50,50.03,61.8,44.48
7501,Gorontalo,Boalemo,49.85,28.53,30.54,37.39,45.92,42.05
7504,Gorontalo,Bone Bolango,51.38,36.52,35.06,31.99,46.1,48.84
7502,Gorontalo,Gorontalo,50.65,28.81,29.45,31.04,43.94,35.83
7505,Gorontalo,Gorontalo Utara,51.26,36.3,28.92,33.34,43.03,49.49
7503,Gorontalo,Pohuwato,51.24,34.48,35.48,33.11,46.58,45.81
7502,Gorontalo,Gorontalo,52.41,34.86,36.32,48.5,48.07,45.47
1504,Jambi,Batang Hari,53.87,29.45,28.9,32.28,43.97,29.97
1509,Jambi,Bungo,52.62,34.02,30.98,30.08,46.68,36.05
1501,Jambi,Kerinci,50.08,27.89,23.27,37.32,42.5,27.2
1502,Jambi,Merangin,50.33,33.99,30.62,27.88,47.91,33.25
1505,Jambi,Muaro Jambi,54.08,31.43,29.6,27.95,44.25,39.92
1503,Jambi,Sarolangun,51.92,29.32,25.23,26.78,42.79,28.02
1507,Jambi,Tanjung Jabung Barat,51.61,33.52,27.73,28.61,42.16,32.45
1506,Jambi,Tanjung Jabung Timur,53.69,38.61,35.38,45.49,50.97,40.46
1508,Jambi,Tebo,55.46,34.81,33.28,34.9,52.38,37.22
1571,Jambi,Jambi,59.81,46.02,43.17,30.17,49.95,30.2
1572,Jambi,Sungai Penuh,50.44,28.49,29.27,35.45,39.56,29.33
3204,Jawa Barat,Bandung,56.85,34.06,32.02,31.38,45.58,36.37
3217,Jawa Barat,Bandung Barat,58.82,37.1,35.71,33.16,52.2,35.51
3216,Jawa Barat,Bekasi,58.23,39.54,34.2,32.67,49.74,36.43
3201,Jawa Barat,Bogor,61.26,39.92,35.63,40.77,54.74,41.54
3207,Jawa Barat,Ciamis,61.63,35.74,31.86,41.72,48.12,44.26
3203,Jawa Barat,Cianjur,55.96,34.47,32.95,20.88,46.18,21.61
3209,Jawa Barat,Cirebon,55.51,32.16,30.19,32.66,47.25,33.09
3205,Jawa Barat,Garut,55.1,30.21,25.19,25.54,42.66,22.07
3212,Jawa Barat,Indramayu,53.79,31.13,29.33,29.67,44.61,32.23
3215,Jawa Barat,Karawang,56.05,34.01,32.27,39.79,49.87,38.57
3208,Jawa Barat,Kuningan,62.55,36.88,35.41,47.77,56.52,48.74
3210,Jawa Barat,Majalengka,59.7,35.2,32.37,35.42,50.64,49.25
3218,Jawa Barat,Pangandaran,54.8,30.72,29.3,36.64,52.21,49.18
3214,Jawa Barat,Purwakarta,55.99,33,30.9,36.17,48.36,38.85
3213,Jawa Barat,Subang,56.99,33.76,33.08,33.53,40.16,27.61
3202,Jawa Barat,Sukabumi,59.39,37.91,37.57,31.02,46.89,32.72
3211,Jawa Barat,Sumedang,61.03,36.26,33.58,43.16,56.6,42
3206,Jawa Barat,Tasikmalaya,59.83,39.12,36.87,36.11,51.32,36.58
3273,Jawa Barat,Bandung,66.12,48.27,40.99,39.97,56.86,42.55
6303,Jawa Barat,Banjar,62.35,34.59,31.28,35.51,47.32,49.13
3275,Jawa Barat,Bekasi,68.07,52.61,43.14,49.27,63.12,49.51
3271,Jawa Barat,Bogor,68.73,51.94,43.51,49.32,60.25,47.86
3277,Jawa Barat,Cimahi,64.41,44.05,37.95,44.14,59.63,49.16
3274,Jawa Barat,Cirebon,62.06,41.91,36.87,40.52,57.54,42.45
3276,Jawa Barat,Depok,66.9,48.48,40.9,44.61,61.76,46.85
